Method: ComplexLocalOptimalScheme
SLAE Number: 1
Threads: 4
Smoothing: NoSmoothing
Total time: 7475 ms
Total iterations: 530

End iteration: 530 		 ||f - Ax^j|| / ||r^0||: 9,94123987876366E-06

Iteration	Residual		SmoothedResidual
---------	---------		---------------
1		5,958811309039839E-001	5,958811309039839E-001
2		2,226022977021693E-001	2,226022977021694E-001
3		1,896729150636447E-001	1,896729150636447E-001
4		1,825912219132348E-001	1,825912219132348E-001
5		2,028591756336330E-001	2,028591756336331E-001
6		1,381070894068708E-001	1,381070894068707E-001
7		1,241555222200078E-001	1,241555222200077E-001
8		9,983608619946854E-002	9,983608619946854E-002
9		9,819699865379256E-002	9,819699865379256E-002
10		1,120043775923224E-001	1,120043775923224E-001
11		1,017989561528871E-001	1,017989561528870E-001
12		5,144306305127420E-002	5,144306305127411E-002
13		3,486239312387127E-002	3,486239312387126E-002
14		3,434456813441127E-002	3,434456813441127E-002
15		2,949227887845652E-002	2,949227887845649E-002
16		5,689387431764374E-002	5,689387431764367E-002
17		2,744453088220284E-002	2,744453088220281E-002
18		2,326674236658123E-002	2,326674236658124E-002
19		2,470903766246851E-002	2,470903766246850E-002
20		1,770458097197627E-002	1,770458097197628E-002
21		1,743000763075797E-002	1,743000763075795E-002
22		1,366441171284194E-002	1,366441171284196E-002
23		1,756598792348057E-002	1,756598792348059E-002
24		1,833740552983720E-002	1,833740552983720E-002
25		1,965274009226629E-002	1,965274009226630E-002
26		1,499434296727087E-002	1,499434296727088E-002
27		9,466097169760825E-002	9,466097169760829E-002
28		7,873845402953074E-002	7,873845402953075E-002
29		4,779122456147512E-002	4,779122456147519E-002
30		3,786084533338198E-002	3,786084533338191E-002
31		3,513527223576640E-002	3,513527223576639E-002
32		2,493794058019525E-002	2,493794058019524E-002
33		3,790821478370734E-002	3,790821478370735E-002
34		7,697688153735933E-002	7,697688153735924E-002
35		3,388170855055574E-002	3,388170855055574E-002
36		7,663480613155697E-002	7,663480613155700E-002
37		7,908016263788001E-002	7,908016263787995E-002
38		2,026437435684276E-002	2,026437435684277E-002
39		1,887600979642124E-002	1,887600979642128E-002
40		4,682294764511226E-002	4,682294764511225E-002
41		1,159198954534014E-002	1,159198954534013E-002
42		1,609357345020487E-002	1,609357345020488E-002
43		1,049614395902699E-002	1,049614395902699E-002
44		8,689294136025507E-003	8,689294136025504E-003
45		6,879121187270686E-003	6,879121187270684E-003
46		1,250232816162868E-002	1,250232816162868E-002
47		6,165855403838415E-003	6,165855403838404E-003
48		5,989171791470607E-003	5,989171791470605E-003
49		1,898957068800622E-002	1,898957068800622E-002
50		4,617829888872655E-003	4,617829888872652E-003
51		5,310390008705443E-003	5,310390008705446E-003
52		5,649416108453288E-003	5,649416108453292E-003
53		4,714486201521340E-003	4,714486201521340E-003
54		4,712671719095867E-003	4,712671719095864E-003
55		5,413903521147234E-003	5,413903521147237E-003
56		7,557617045137706E-003	7,557617045137712E-003
57		8,585041184739454E-003	8,585041184739454E-003
58		1,111398547642137E-002	1,111398547642136E-002
59		1,190604670931884E-002	1,190604670931885E-002
60		1,543993698126961E-002	1,543993698126963E-002
61		1,498260666286689E-002	1,498260666286689E-002
62		6,130591750326072E-003	6,130591750326071E-003
63		4,499814702250892E-003	4,499814702250892E-003
64		4,253001765270972E-003	4,253001765270970E-003
65		5,862540168037458E-003	5,862540168037456E-003
66		5,414095187673613E-003	5,414095187673615E-003
67		5,620311124005134E-003	5,620311124005129E-003
68		5,657843093784997E-003	5,657843093784990E-003
69		5,396177871972477E-003	5,396177871972468E-003
70		3,715999606011209E-003	3,715999606011206E-003
71		4,111608509572726E-003	4,111608509572724E-003
72		3,352272320004400E-003	3,352272320004398E-003
73		3,493105279841699E-003	3,493105279841697E-003
74		3,952595199629637E-003	3,952595199629632E-003
75		4,261206243931478E-003	4,261206243931477E-003
76		1,196505262030934E-002	1,196505262030933E-002
77		3,174905969534869E-002	3,174905969534873E-002
78		1,273244757261378E-002	1,273244757261378E-002
79		4,123046566022144E-003	4,123046566022146E-003
80		6,119466186694186E-003	6,119466186694188E-003
81		3,661016707196063E-003	3,661016707196065E-003
82		5,917891955791304E-003	5,917891955791303E-003
83		3,148809242408824E-003	3,148809242408825E-003
84		2,737703721417168E-003	2,737703721417162E-003
85		2,997310929524593E-003	2,997310929524598E-003
86		1,555946993184828E-003	1,555946993184829E-003
87		2,211402418063991E-003	2,211402418063991E-003
88		2,556874922674013E-003	2,556874922674014E-003
89		1,461974884057305E-003	1,461974884057307E-003
90		1,383435469687667E-003	1,383435469687668E-003
91		1,574846022214645E-003	1,574846022214645E-003
92		1,291059333135216E-003	1,291059333135217E-003
93		1,306357947841022E-003	1,306357947841021E-003
94		1,242146167486156E-003	1,242146167486155E-003
95		1,245415135806730E-003	1,245415135806730E-003
96		1,283136483309445E-003	1,283136483309445E-003
97		1,256342369419423E-003	1,256342369419423E-003
98		1,440175494512293E-003	1,440175494512294E-003
99		1,943425950789005E-003	1,943425950789004E-003
100		2,984256432992237E-002	2,984256432992237E-002
101		1,688473030583194E-003	1,688473030583194E-003
102		2,120813064129212E-003	2,120813064129213E-003
103		1,840012839055309E-003	1,840012839055308E-003
104		1,492351749381834E-003	1,492351749381835E-003
105		1,310698804557664E-003	1,310698804557664E-003
106		1,710431686079674E-003	1,710431686079673E-003
107		1,210157492096428E-003	1,210157492096426E-003
108		1,321961448041122E-003	1,321961448041122E-003
109		1,302634907221874E-003	1,302634907221874E-003
110		1,389724316440313E-003	1,389724316440313E-003
111		1,200822211880718E-003	1,200822211880718E-003
112		1,425771904842160E-003	1,425771904842159E-003
113		9,246295928783327E-004	9,246295928783321E-004
114		1,172216966291866E-003	1,172216966291865E-003
115		1,643763468321797E-003	1,643763468321800E-003
116		1,849013263863464E-003	1,849013263863463E-003
117		1,242705751795859E-003	1,242705751795859E-003
118		1,182573342114596E-003	1,182573342114596E-003
119		6,843112864069468E-004	6,843112864069467E-004
120		1,084536734626810E-003	1,084536734626810E-003
121		7,210273954854082E-004	7,210273954854083E-004
122		7,769666720445075E-004	7,769666720445082E-004
123		6,834592918438502E-004	6,834592918438497E-004
124		8,287622414435190E-004	8,287622414435190E-004
125		8,940975694385715E-004	8,940975694385712E-004
126		1,123182401596094E-003	1,123182401596094E-003
127		2,135042903934299E-003	2,135042903934299E-003
128		1,874998045696875E-003	1,874998045696874E-003
129		8,645792984903235E-004	8,645792984903235E-004
130		8,313013609427572E-004	8,313013609427579E-004
131		1,082387473373780E-003	1,082387473373780E-003
132		8,022839300668669E-004	8,022839300668667E-004
133		8,817749734722874E-004	8,817749734722874E-004
134		1,143392351972914E-003	1,143392351972914E-003
135		2,581372031631808E-003	2,581372031631808E-003
136		1,714456100006893E-003	1,714456100006893E-003
137		3,214185017685614E-003	3,214185017685614E-003
138		2,555936272669162E-003	2,555936272669161E-003
139		2,369322311638420E-003	2,369322311638422E-003
140		1,738351108585107E-003	1,738351108585107E-003
141		1,725507224998038E-003	1,725507224998038E-003
142		1,803532520056831E-003	1,803532520056831E-003
143		1,892463118361317E-003	1,892463118361317E-003
144		3,053200394226968E-003	3,053200394226969E-003
145		3,631706091561748E-003	3,631706091561749E-003
146		3,456496987124057E-003	3,456496987124057E-003
147		2,487304433133651E-003	2,487304433133650E-003
148		3,708416467544277E-003	3,708416467544280E-003
149		1,833956682173491E-003	1,833956682173489E-003
150		1,954271258604329E-003	1,954271258604328E-003
151		4,507663393428069E-003	4,507663393428067E-003
152		2,320353613850370E-003	2,320353613850369E-003
153		2,416270107748916E-003	2,416270107748918E-003
154		2,536974537948387E-003	2,536974537948387E-003
155		2,276749375845028E-003	2,276749375845028E-003
156		3,350015180214302E-003	3,350015180214302E-003
157		2,638006530849512E-003	2,638006530849513E-003
158		4,147273397849018E-003	4,147273397849015E-003
159		7,375457798539016E-003	7,375457798539019E-003
160		2,010845014026576E-003	2,010845014026573E-003
161		1,269388707821640E-003	1,269388707821639E-003
162		1,219764768235569E-003	1,219764768235569E-003
163		1,306907871076977E-003	1,306907871076977E-003
164		1,244731938308701E-003	1,244731938308702E-003
165		8,642941748438807E-004	8,642941748438810E-004
166		7,136599048093529E-004	7,136599048093538E-004
167		1,037658241278883E-003	1,037658241278883E-003
168		8,829101906834373E-004	8,829101906834360E-004
169		8,635330875537441E-004	8,635330875537438E-004
170		1,620480367959158E-003	1,620480367959158E-003
171		7,954342842997907E-004	7,954342842997904E-004
172		7,427661477079701E-004	7,427661477079697E-004
173		1,243856192095279E-003	1,243856192095278E-003
174		1,070544518491045E-003	1,070544518491048E-003
175		9,551101838513178E-004	9,551101838513180E-004
176		9,290053721599255E-004	9,290053721599255E-004
177		7,809408300546468E-004	7,809408300546472E-004
178		7,859192221956811E-004	7,859192221956810E-004
179		5,148208583705785E-004	5,148208583705785E-004
180		4,903315981574359E-004	4,903315981574356E-004
181		6,301787233342086E-004	6,301787233342076E-004
182		5,912935252905844E-004	5,912935252905840E-004
183		6,973897556954283E-004	6,973897556954283E-004
184		1,561817230514203E-003	1,561817230514203E-003
185		4,251111080550733E-003	4,251111080550732E-003
186		1,729157521639466E-003	1,729157521639464E-003
187		1,944830284329910E-003	1,944830284329910E-003
188		7,082078226653655E-004	7,082078226653654E-004
189		6,090838364068362E-004	6,090838364068363E-004
190		8,378444143214095E-004	8,378444143214092E-004
191		3,766939735369672E-004	3,766939735369671E-004
192		4,057583314219141E-004	4,057583314219142E-004
193		3,277084932633706E-004	3,277084932633704E-004
194		5,527061140179243E-004	5,527061140179245E-004
195		1,886447407338860E-004	1,886447407338860E-004
196		2,119099582362372E-004	2,119099582362370E-004
197		3,746884375803138E-004	3,746884375803138E-004
198		3,176412535505996E-004	3,176412535505997E-004
199		5,545995842793550E-004	5,545995842793552E-004
200		3,061253674043405E-004	3,061253674043405E-004
201		3,694730344794244E-004	3,694730344794245E-004
202		5,871808798897137E-004	5,871808798897139E-004
203		2,531504101861434E-004	2,531504101861437E-004
204		4,437524158921144E-004	4,437524158921142E-004
205		3,123790842583003E-004	3,123790842583004E-004
206		3,104489236100011E-004	3,104489236100010E-004
207		5,824157858620267E-004	5,824157858620267E-004
208		2,864448655842993E-004	2,864448655842993E-004
209		8,621602525426707E-004	8,621602525426702E-004
210		2,952410045002526E-004	2,952410045002528E-004
211		1,376774266825933E-003	1,376774266825931E-003
212		1,969074130886608E-004	1,969074130886607E-004
213		1,803291292416342E-004	1,803291292416342E-004
214		1,479062052507931E-004	1,479062052507930E-004
215		1,302032826324934E-004	1,302032826324934E-004
216		1,349554195950160E-004	1,349554195950160E-004
217		1,418304014713271E-004	1,418304014713272E-004
218		1,943542136031525E-004	1,943542136031525E-004
219		1,453218499798310E-004	1,453218499798311E-004
220		1,905487504221594E-004	1,905487504221595E-004
221		1,553805866715289E-004	1,553805866715290E-004
222		2,213098598703861E-004	2,213098598703862E-004
223		1,826498440218023E-004	1,826498440218021E-004
224		1,697750903836893E-004	1,697750903836892E-004
225		1,455873080543997E-004	1,455873080543997E-004
226		3,321276449130703E-004	3,321276449130698E-004
227		3,239405856348690E-004	3,239405856348690E-004
228		2,286742135820863E-004	2,286742135820861E-004
229		1,222762995687892E-003	1,222762995687892E-003
230		3,382212111385538E-004	3,382212111385534E-004
231		3,349572722671172E-004	3,349572722671173E-004
232		4,127019803447936E-004	4,127019803447933E-004
233		5,585059245874499E-004	5,585059245874502E-004
234		5,787206658012570E-004	5,787206658012567E-004
235		5,967587573245033E-004	5,967587573245032E-004
236		1,522292340068697E-003	1,522292340068697E-003
237		1,373705683413201E-003	1,373705683413199E-003
238		4,342749043546912E-004	4,342749043546913E-004
239		4,399555725412389E-004	4,399555725412393E-004
240		4,815905745699096E-004	4,815905745699094E-004
241		2,464088124292273E-004	2,464088124292273E-004
242		1,916549687471942E-004	1,916549687471944E-004
243		2,008116069132882E-004	2,008116069132882E-004
244		2,436872544665292E-004	2,436872544665293E-004
245		5,268551363829149E-003	5,268551363829149E-003
246		2,692055686450672E-004	2,692055686450670E-004
247		2,590174255462287E-004	2,590174255462288E-004
248		4,786914124629154E-004	4,786914124629156E-004
249		1,937578537840264E-004	1,937578537840267E-004
250		1,680111569058506E-004	1,680111569058506E-004
251		1,633913434787978E-004	1,633913434787976E-004
252		1,851636818980285E-004	1,851636818980283E-004
253		1,300867733897087E-004	1,300867733897086E-004
254		1,145125222902347E-004	1,145125222902346E-004
255		1,159407751694495E-004	1,159407751694493E-004
