Method: COCG
SLAE Number: 3
Threads: 12
Smoothing: ResidualSmoothing
Total time: 2017519 ms
Total iterations: 6544

End iteration: 6544 		 ||f - Ax^j|| / ||r^0||: 9,993572519411232E-06

Iteration	Residual		SmoothedResidual
---------	---------		---------------
1		8,851667267077119E-001	6,975823503577224E-001
2		3,681250326383723E-001	3,320751433891732E-001
3		6,752594680400358E-001	3,320751433891730E-001
4		4,729485332532881E-001	2,166634253489193E-001
5		3,490903007414709E-001	2,059949597508447E-001
6		7,692852686899166E-001	2,020944714298331E-001
7		6,204699030761071E-001	1,774474709908882E-001
8		5,018042745956282E-001	1,762734079889959E-001
9		2,450552997125033E-001	1,376962125108760E-001
10		2,335881572902498E-001	1,292695671710724E-001
11		5,348673154586762E-001	1,292695671710724E-001
12		7,032481152774414E-001	1,292695671710724E-001
13		6,115159173473407E-001	1,278803282050594E-001
14		4,139047408626448E-001	1,198423506338695E-001
15		8,421388100515599E-001	1,190327357784312E-001
16		3,165340274310631E-001	1,002863049515016E-001
17		1,969757781976362E-001	9,194772882602145E-002
18		4,498997135405673E-001	9,157224348848556E-002
19		6,303635699956723E-001	9,076937047991478E-002
20		1,139000682850194E+000	9,076937047991468E-002
21		8,362376405372974E-001	8,759339340879178E-002
22		8,411040389785113E-001	8,444121283061674E-002
23		1,119588521654717E+000	8,421038822296636E-002
24		5,095171539045056E-001	8,289208048017697E-002
25		4,882475093163178E-001	7,840564009531958E-002
26		3,916105384906535E-001	7,755395772401978E-002
27		3,812213294275419E-001	7,755395772401973E-002
28		4,839105029862465E-001	7,351982707892671E-002
29		6,285172571655393E-001	7,351982707892672E-002
30		1,168454385154555E+000	7,351982707892674E-002
31		1,207982507123861E+000	7,288430582159199E-002
32		1,580560849180929E+000	7,288430582159201E-002
33		3,832626720739729E+000	7,288430582159189E-002
34		2,134886603869110E+001	7,288430582159201E-002
35		3,075666906761549E+000	7,170624036395563E-002
36		8,216080541934837E-001	7,161005568238010E-002
37		6,189124066860046E-001	7,123641931882474E-002
38		1,397331633825448E+000	7,089436345602765E-002
39		3,079439994454823E-001	6,960940221342872E-002
40		2,017440753285369E+000	6,960940221342871E-002
41		1,967550497276371E+000	6,960940221342866E-002
42		1,241454335844955E+000	6,935167353010489E-002
43		1,764943838309966E+000	6,935167353010491E-002
44		4,773351317321972E-001	6,852998962698907E-002
45		4,241462740480385E-001	6,845358083047572E-002
46		9,377578529164657E-002	5,640031389943327E-002
47		3,184076064038630E-001	5,640031389943325E-002
48		7,433200494421219E-001	5,640031389943315E-002
49		4,902365913251054E-001	5,541455682026832E-002
50		2,066682185292600E+000	5,541455682026823E-002
51		1,141252067450961E+000	5,491067827056610E-002
52		2,637897460550369E+000	5,491067827056605E-002
53		6,945266573280192E-001	5,407920508715489E-002
54		4,907567355062645E-001	5,404069246590566E-002
55		6,248881245373493E-001	5,404069246590564E-002
56		2,822393546490457E+000	5,402506657743950E-002
57		5,543907648756535E-001	5,264049589733234E-002
58		1,175732338153394E+000	5,210332744873388E-002
59		6,694711029429410E-001	5,207537608072730E-002
60		7,555755647146529E-001	5,207537608072726E-002
61		1,467002175121712E+000	5,207537608072626E-002
62		2,249171246970290E+000	5,144769820387623E-002
63		6,671223466991083E+000	5,144769820387619E-002
64		1,534298510637789E+000	5,061706461711513E-002
65		2,702473629151364E+000	5,061706461711513E-002
66		9,115576508872000E-001	4,981877553482564E-002
67		4,375413794020488E+000	4,980151102879524E-002
68		2,327486788367043E+000	4,979295585075529E-002
69		4,837742274778935E+000	4,979295585075529E-002
70		1,905657943864171E+000	4,934583844090640E-002
71		2,496548172681134E+000	4,934228439887397E-002
72		1,220318660471816E+000	4,867945388411491E-002
73		1,764168879880779E+000	4,867945388411492E-002
74		1,239049115986098E+000	4,867945388411491E-002
75		2,256908168028941E+000	4,867945388411491E-002
76		8,022059700923375E-001	4,861343366426230E-002
77		9,566718497964474E-001	4,861167597433383E-002
78		3,531259551910287E-001	4,848472278616060E-002
79		5,532699186265270E-001	4,848472278616058E-002
80		7,288497481119242E-001	4,845246727220770E-002
81		1,331417450692896E+000	4,845246727220771E-002
82		2,207708686747336E+000	4,845246727220771E-002
83		1,516449619515443E+000	4,844927166455487E-002
84		5,291810943558870E-001	4,811678569296828E-002
85		3,573231047391913E-001	4,714056983528409E-002
86		3,232783486903998E-001	4,714010104670099E-002
87		5,401248930666370E-001	4,683430967509210E-002
88		1,062980811022881E+000	4,672487094232222E-002
89		1,299735233910829E+000	4,672487094232227E-002
90		1,356246983760095E+000	4,672487094232223E-002
91		3,377575445334391E-001	4,639090849610600E-002
92		3,531785315559095E-001	4,589938451257197E-002
93		3,771571374237446E-001	4,589938451257269E-002
94		3,779098279424286E-001	4,523426473722703E-002
95		2,886705584986716E-001	4,512316382447464E-002
96		3,360624680995193E-001	4,512087486178317E-002
97		1,958745342953460E-001	4,498619694247852E-002
98		2,865634818422289E-001	4,423747414761239E-002
99		2,409264477607661E-001	4,423747414761240E-002
100		6,122164284788276E-001	4,423747414761239E-002
101		1,594185947300916E-001	4,267757529229337E-002
102		3,121326821583221E-001	4,267757529229336E-002
103		1,966588039823028E-001	4,267571074396305E-002
104		1,171006281683887E+000	4,149819084335661E-002
105		6,811683581457164E-001	4,145174735551112E-002
106		1,248049570235937E+000	4,117919011499666E-002
107		9,493767851495689E-002	3,634207346943606E-002
108		3,243926211825781E-001	3,621794448253585E-002
109		4,838017792717820E-001	3,277609155930002E-002
110		3,559012782351159E-001	3,180332982729403E-002
111		2,994411812144227E-001	3,180332982729402E-002
112		7,370349883946677E-002	3,085007727642966E-002
113		4,671403121611867E-001	3,034546703699460E-002
114		1,586295808642105E-001	3,034543898428519E-002
115		2,584478528347555E-001	2,971250580577092E-002
116		2,380686071865659E-001	2,971250580577094E-002
117		3,601824491483326E-001	2,965263064669725E-002
118		1,905466869321430E-001	2,885788920112599E-002
119		3,837437246829472E-001	2,884351057203787E-002
120		1,732206686176416E-001	2,842420886000037E-002
121		1,855716635330620E-001	2,842420886000037E-002
122		2,669497659239742E-001	2,842420886000038E-002
123		2,192387855226859E-001	2,842268522884974E-002
124		1,383141441563998E-001	2,788129051666855E-002
125		2,423789093402025E-001	2,788129051666854E-002
126		3,080865863634746E-001	2,788129051666853E-002
127		4,205841000392131E-001	2,788129051666854E-002
128		5,940550252125720E-001	2,786802474441977E-002
129		4,062474158120998E-001	2,723073163707091E-002
130		2,736643658348276E-001	2,679985374904382E-002
131		3,622341735104244E-001	2,665151557871563E-002
132		6,719501854864337E-001	2,663322632602840E-002
133		6,446528394805273E-001	2,634159830098060E-002
134		4,851038599293249E-001	2,633947633977225E-002
135		4,049503736554108E-001	2,633942324290672E-002
136		1,921241414366021E-001	2,576819641602264E-002
137		1,741341115175934E-001	2,576508115987838E-002
138		1,147420243932864E-001	2,563631834844447E-002
139		2,495025366625094E-001	2,461917033881695E-002
140		1,317576265941757E-001	2,460288074098461E-002
141		2,892992222955249E-001	2,460288074098471E-002
142		4,197080303451782E-001	2,448874598335185E-002
143		7,931069042437573E-001	2,442173548849287E-002
144		1,653163523798218E-001	2,407024681965870E-002
145		6,648606382878350E-001	2,393244544685039E-002
146		2,908854089096511E-001	2,381585577885443E-002
147		4,929092372375634E-001	2,353863608137756E-002
148		7,932906005463322E-001	2,353863608137755E-002
149		3,408640409161925E-001	2,347668336608619E-002
150		6,618198163859589E-001	2,347419177657345E-002
151		1,607693885312959E+000	2,320649883718176E-002
152		7,180958446486287E+000	2,311580837600016E-002
153		9,453384006722162E-001	2,311580837600014E-002
154		6,057566065712149E-001	2,311059139955880E-002
155		6,842821008508617E-001	2,311059139955872E-002
