Method: ComplexLocalOptimalScheme
SLAE Number: 1
Threads: 2
Smoothing: ResidualSmoothing
Total time: 7913 ms
Total iterations: 387

End iteration: 387 		 ||f - Ax^j|| / ||r^0||: 9,62407781654171E-06

Iteration	Residual		SmoothedResidual
---------	---------		---------------
1		5,958811309039851E-001	4,702101051811464E-001
2		2,226022977021702E-001	2,067673484962184E-001
3		1,896729150636455E-001	1,828545220760483E-001
4		1,825912219132352E-001	1,593685399687793E-001
5		2,028591756336342E-001	1,097887253161860E-001
6		1,381070894068714E-001	1,070144015393805E-001
7		1,241555222200084E-001	1,067561620713365E-001
8		9,983608619946890E-002	9,226019387903532E-002
9		9,819699865379394E-002	7,606062562041169E-002
10		1,120043775923181E-001	6,424722433032462E-002
11		1,017989561528835E-001	6,387900738016143E-002
12		5,144306305127366E-002	4,462204238202718E-002
13		3,486239312387093E-002	3,484566844879831E-002
14		3,434456813441096E-002	3,242577343899142E-002
15		2,949227887845468E-002	2,730848942921067E-002
16		5,689387431764264E-002	2,730848942921065E-002
17		2,744453088220265E-002	2,389445887496805E-002
18		2,326674236658098E-002	2,276250569595070E-002
19		2,470903766246639E-002	1,864677186109796E-002
20		1,770458097197764E-002	1,766842800839374E-002
21		1,743000763075315E-002	1,638694746020024E-002
22		1,366441171284143E-002	1,366441171284143E-002
23		1,756598792348450E-002	1,335577460033983E-002
24		1,833740552984090E-002	1,309563672924267E-002
25		1,965274009226415E-002	1,261830047512470E-002
26		1,499434296727040E-002	1,200345025912446E-002
27		9,466097169756540E-002	1,200345025912446E-002
28		7,873845402949427E-002	1,200345025912445E-002
29		4,779122456144464E-002	1,192489826611893E-002
30		3,786084533334926E-002	1,088201000215155E-002
31		3,513527223574570E-002	1,088201000215155E-002
32		2,493794058018377E-002	1,037247877819418E-002
33		3,790821478343519E-002	9,770685321813799E-003
34		7,697688153657969E-002	9,770685321813796E-003
35		3,388170855056529E-002	9,082672993112710E-003
36		7,663480613140913E-002	9,082672993112710E-003
37		7,908016263767591E-002	9,082672993112712E-003
38		2,026437435683787E-002	8,775449449970222E-003
39		1,887600979639850E-002	8,644602024058595E-003
40		4,682294764508863E-002	7,565120450301720E-003
41		1,159198954536070E-002	6,571841540468156E-003
42		1,609357345021024E-002	6,534370788532407E-003
43		1,049614395905797E-002	6,431751000735651E-003
44		8,689294136203125E-003	5,959890024826513E-003
45		6,879121187323610E-003	5,547505408769943E-003
46		1,250232816181045E-002	5,503732410597782E-003
47		6,165855403878717E-003	5,472955607152915E-003
48		5,989171791459013E-003	5,214772691187934E-003
49		1,898957068766027E-002	4,987933857065792E-003
50		4,617829888882243E-003	4,545379051044064E-003
51		5,310390008716136E-003	4,377321227063934E-003
52		5,649416108478813E-003	4,370588520000812E-003
53		4,714486201538550E-003	4,348632663182905E-003
54		4,712671719113394E-003	4,337115540561534E-003
55		5,413903521190443E-003	4,337115540561534E-003
56		7,557617045257998E-003	4,337115540561535E-003
57		8,585041184788707E-003	4,337115540561538E-003
58		1,111398547642534E-002	4,336974966226575E-003
59		1,190604670936228E-002	4,336974966226574E-003
60		1,543993698135966E-002	4,336974966226574E-003
61		1,498260666301366E-002	4,061953542950076E-003
62		6,130591750354040E-003	3,722018770899194E-003
63		4,499814702402492E-003	3,228594709769620E-003
64		4,253001765356110E-003	3,223746124992906E-003
65		5,862540168459161E-003	3,223746124992903E-003
66		5,414095187947060E-003	3,176215345270786E-003
67		5,620311124086291E-003	2,970485207678388E-003
68		5,657843093890155E-003	2,970485207678388E-003
69		5,396177872293341E-003	2,968812704760465E-003
70		3,715999605980706E-003	2,896014009670674E-003
71		4,111608509366320E-003	2,890963572883483E-003
72		3,352272320017544E-003	2,876568698569829E-003
73		3,493105279815163E-003	2,876568698569829E-003
74		3,952595199219485E-003	2,876568698569829E-003
75		4,261206243476878E-003	2,625468850763260E-003
76		1,196505262015052E-002	2,625468850763260E-003
77		3,174905969547445E-002	2,625468850763259E-003
78		1,273244757266234E-002	2,625468850763259E-003
79		4,123046566777592E-003	2,576412308641103E-003
80		6,119466189860949E-003	2,576412308641102E-003
81		3,661016707705883E-003	2,576288756119606E-003
82		5,917891956013031E-003	2,576288756119606E-003
83		3,148809243970558E-003	2,027288437089555E-003
84		2,737703722307084E-003	1,925867025013684E-003
85		2,997310930062150E-003	1,824556673281044E-003
86		1,555946993191546E-003	1,512624896698365E-003
87		2,211402418711531E-003	1,512624896698367E-003
88		2,556874922901547E-003	1,512624896698367E-003
89		1,461974882823119E-003	1,304702125861924E-003
90		1,383435469568122E-003	1,293886023846110E-003
91		1,574846021651659E-003	1,293886023846110E-003
92		1,291059333095981E-003	1,272190264879839E-003
93		1,306357947556010E-003	1,268080833462176E-003
94		1,242146167520136E-003	1,236974404378284E-003
95		1,245415135849574E-003	1,236719844357929E-003
96		1,283136483332565E-003	1,234282791176129E-003
97		1,256342369415129E-003	1,224792311348339E-003
98		1,440175495187595E-003	1,224792311348339E-003
99		1,943425991088428E-003	1,016263531448928E-003
100		2,984256621124987E-002	1,015771024666569E-003
101		1,688473078884998E-003	1,015771024666568E-003
102		2,120813154802776E-003	1,015771024666568E-003
103		1,840012862505523E-003	1,013043253219662E-003
104		1,492351767404135E-003	1,000422043803353E-003
105		1,310698806556923E-003	9,457176492753309E-004
106		1,710431692646402E-003	9,428826218682360E-004
107		1,210157492840446E-003	9,318152263311162E-004
108		1,321961447167856E-003	9,287383097885795E-004
109		1,302634907357107E-003	9,287383097885797E-004
110		1,389724315663184E-003	9,287383097885797E-004
111		1,200822210467733E-003	9,287383097885797E-004
112		1,425771902015563E-003	9,173654330849150E-004
113		9,246295929274427E-004	8,600377788148323E-004
114		1,172216966625555E-003	8,019099978918263E-004
115		1,643763469502041E-003	8,018854890436407E-004
116		1,849013275032680E-003	7,638817914264033E-004
117		1,242705753407131E-003	7,370077748411437E-004
118		1,182573342438117E-003	7,011188525350893E-004
119		6,843112867239673E-004	6,632468835068648E-004
120		1,084536748401805E-003	6,632468835068648E-004
121		7,210273967872153E-004	6,507099405709630E-004
122		7,769666953402700E-004	6,484440970619306E-004
123		6,834592944409316E-004	6,336416366354529E-004
124		8,287622597367850E-004	6,336416366354529E-004
125		8,940975725162708E-004	6,336416366354529E-004
126		1,123182410829412E-003	6,336416366354528E-004
127		2,135043043504937E-003	5,699426949261289E-004
128		1,874998147677941E-003	5,686053911622379E-004
129		8,645792992972133E-004	4,542834083442330E-004
130		8,313013608146068E-004	4,542834083442331E-004
131		1,082387482198745E-003	4,542834083442330E-004
132		8,022839351788716E-004	4,527557576834509E-004
133		8,817749979110688E-004	4,527557576834512E-004
134		1,143392367488447E-003	4,514618216220943E-004
135		2,581371882877609E-003	4,504922724436538E-004
136		1,714456181293984E-003	4,499074564321010E-004
137		3,214185151691559E-003	4,499074564321005E-004
138		2,555935981472469E-003	4,495300623372988E-004
139		2,369322283974651E-003	4,495300623372989E-004
140		1,738351065047523E-003	4,495300623372990E-004
141		1,725507246979916E-003	4,495300623372990E-004
142		1,803532550218403E-003	4,495300623372994E-004
143		1,892463321607280E-003	4,495300623372990E-004
144		3,053196430537607E-003	4,495300623372990E-004
145		3,631705524402614E-003	4,495300623372990E-004
146		3,456496962997665E-003	4,495300623372990E-004
147		2,487304491104598E-003	4,495300623372987E-004
148		3,708414172002209E-003	4,493840273008872E-004
149		1,833958338689564E-003	4,493315420188363E-004
150		1,954273784786592E-003	4,493203787121036E-004
151		4,507661149226958E-003	4,493203787121036E-004
152		2,320385811687301E-003	4,492248583179322E-004
153		2,416276287104590E-003	4,478182007977103E-004
154		2,536979713822109E-003	4,478182007977103E-004
155		2,276754215420016E-003	4,470698489022342E-004
156		3,355552326376815E-003	4,470698489022342E-004
157		2,637889970891399E-003	4,470437230616933E-004
158		4,147247554321481E-003	4,470437230616933E-004
159		7,375874898446786E-003	4,468004997808217E-004
160		2,010960114243425E-003	4,467217886368014E-004
161		1,269419205986753E-003	4,461172129001465E-004
162		1,219774848681264E-003	4,461172129001465E-004
163		1,307095922151155E-003	4,455810804780339E-004
164		1,245052184119973E-003	4,448817104669999E-004
165		8,646813707920104E-004	4,398339524226340E-004
166		7,136050448925401E-004	4,374199382936679E-004
167		9,580338387417843E-004	4,374063600762806E-004
168		8,525777351171139E-004	4,370338716927470E-004
169		8,704172469778815E-004	4,343951975565268E-004
170		3,891167742773279E-003	4,265892239992718E-004
171		9,153242137672070E-004	4,165969060531457E-004
172		7,387116405301331E-004	4,160862654964343E-004
173		1,255519965741320E-003	4,140889339316574E-004
174		2,028984757361382E-003	4,008863501463556E-004
175		9,239350820402914E-004	3,530247153623682E-004
176		7,345135046546897E-004	3,506652078129290E-004
177		7,489749083729432E-004	3,475099010278449E-004
178		1,419581824123900E-003	3,361726129583221E-004
179		5,135630829181509E-004	3,015488505788672E-004
180		4,906352928757907E-004	3,014169283287687E-004
181		6,503278264708625E-004	3,014169283287687E-004
182		5,872531719715196E-004	3,014169283287687E-004
183		7,130473044444096E-004	3,014169283287687E-004
184		2,144751443076412E-003	3,014169283287687E-004
185		3,888569939263379E-003	2,718572164927308E-004
186		1,786911195177263E-003	2,718572164927308E-004
187		1,820642359656979E-003	2,718572164927308E-004
188		7,123747478153317E-004	2,544459353401842E-004
189		6,110574160693464E-004	2,544459353401842E-004
190		8,377841261548451E-004	2,200112125157144E-004
191		3,766280913167397E-004	2,150558858934298E-004
192		4,059592089698434E-004	2,150558858934298E-004
193		3,260895819475030E-004	2,133577895631204E-004
194		5,824279137320937E-004	2,008550430415014E-004
195		1,880593841660524E-004	1,698452122609197E-004
196		2,113021593043883E-004	1,698452122609197E-004
197		8,077695740163075E-004	1,698452122609197E-004
198		3,471128099295752E-004	1,690218277837250E-004
199		2,787238908506842E-004	1,689538522068735E-004
200		2,844948290993454E-004	1,689538522068734E-004
201		3,386412267955388E-004	1,675886238793508E-004
202		3,206643765389575E-004	1,644948699086552E-004
203		2,486613387611206E-004	1,611809003212855E-004
