Method: ComplexLocalOptimalScheme
SLAE Number: 2
Threads: 12
Smoothing: ResidualSmoothing
Total time: 72899 ms
Total iterations: 765

End iteration: 765 		 ||f - Ax^j|| / ||r^0||: 9,370130742405151E-06

Iteration	Residual		SmoothedResidual
---------	---------		---------------
1		7,790319740144078E-001	6,863535792829727E-001
2		2,649984956561596E-001	2,541506816258853E-001
3		2,681571545562343E-001	2,372107070129159E-001
4		2,011839538699136E-001	1,833779955900539E-001
5		1,737514592102572E-001	1,670635972145524E-001
6		2,721460214074950E-001	1,670635972145524E-001
7		1,496370096316831E-001	1,326123104938692E-001
8		1,570948638863776E-001	1,308159030745057E-001
9		7,688827117970552E-002	7,390224587064781E-002
10		9,014067694144888E-002	7,225127542844177E-002
11		1,180388581041396E-001	7,116384839272821E-002
12		8,582946037010226E-002	6,147388256210953E-002
13		6,854496247297857E-002	5,757186512824670E-002
14		6,796944170442698E-002	5,757148122907451E-002
15		1,258096740725187E-001	5,757148122907452E-002
16		8,360461693906084E-002	5,055924964549216E-002
17		6,408913071351521E-002	4,844322313489206E-002
18		7,501070161715571E-002	4,844322313489207E-002
19		8,579783378591710E-002	4,572699916806013E-002
20		8,547081862241752E-002	4,570760418610240E-002
21		7,459330597096987E-002	3,987982795364538E-002
22		2,393855664358989E-001	3,749773687026656E-002
23		1,051308129256133E-001	3,739683220569931E-002
24		1,006507368119308E-001	3,713897452735981E-002
25		5,014789456439062E-002	2,984168971153922E-002
26		4,171478555917201E-002	2,943960496730894E-002
27		4,434191489317387E-002	2,878476399222567E-002
28		3,084894343901539E-002	2,822192874192410E-002
29		3,636953160739709E-002	2,709834970398547E-002
30		4,099873921508724E-002	2,709834970398542E-002
31		5,273744248600200E-002	2,709834970398545E-002
32		4,387822478046242E-002	2,709834970398547E-002
33		1,785704005021407E-001	2,709834970398547E-002
34		6,230960835124980E-002	2,709834970398547E-002
35		8,120112383983270E-002	2,709834970398547E-002
36		4,916153647517477E-002	2,568912951420061E-002
37		4,190705119235572E-002	2,518946913831085E-002
38		2,174055788303399E-002	1,653051591593153E-002
39		1,051314801465033E-001	1,557529303098779E-002
40		1,731647584432248E-002	1,347999782310203E-002
41		1,343246499781388E-002	1,231314558103576E-002
42		1,882924914619260E-002	1,222567699070415E-002
43		1,717397955814350E-002	1,219397879982470E-002
44		1,720103831089850E-002	1,219397879982469E-002
45		1,691397678219561E-002	1,219397879982469E-002
46		4,293825165038295E-002	1,211883838201571E-002
47		8,575270603622495E-002	1,175492144644679E-002
48		1,130429288172315E-001	1,108653283054301E-002
49		6,165285200702506E-002	1,108653283054304E-002
50		5,208273387550443E-002	1,108653283054304E-002
51		4,138718827397966E-002	1,078780734226064E-002
52		4,458303861493711E-002	1,074097333082602E-002
53		4,013117542251949E-002	1,069431938836369E-002
54		9,164993464091994E-002	1,065518076214149E-002
55		5,489946207195617E-002	1,064449490155771E-002
56		7,539555060960849E-002	1,064449490155771E-002
