Method: COCG
SLAE Number: 4
Threads: 4
Smoothing: ResidualSmoothing
Total time: 6450363 ms
Total iterations: 13134

End iteration: 13134 		 ||f - Ax^j|| / ||r^0||: 9,998239667203182E-06

Iteration	Residual		SmoothedResidual
---------	---------		---------------
1		8,850906311095857E-001	6,976545951356196E-001
2		3,669363516980122E-001	3,310247428818290E-001
3		6,628430020764986E-001	3,310247428818290E-001
4		4,788663391239571E-001	2,149968942797511E-001
5		3,443261752435210E-001	2,033033693208429E-001
6		7,598560532035867E-001	1,997837040361330E-001
7		6,192631940712722E-001	1,740479200217367E-001
8		5,127734078558833E-001	1,735808160841757E-001
9		2,428016313931004E-001	1,369410590192759E-001
10		2,318125022833997E-001	1,287481109910831E-001
11		5,065579507865701E-001	1,287481109910840E-001
12		6,701573266487775E-001	1,287481109910832E-001
13		6,242781112686767E-001	1,278300674801527E-001
14		4,380532073097550E-001	1,194208460239507E-001
15		8,972422363145640E-001	1,155390615184748E-001
16		3,116843790773147E-001	9,911611362345854E-002
17		1,906302624575482E-001	9,063777520285154E-002
18		4,357657334252262E-001	9,045166327524647E-002
19		7,213276952942712E-001	9,025464088715265E-002
20		1,225239755237690E+000	9,025464088714913E-002
21		8,831333858191690E-001	8,678619684979237E-002
22		8,590543092063658E-001	8,371676832893790E-002
23		1,184570673392252E+000	8,371221053325695E-002
24		6,816746118272277E-001	8,327457797513345E-002
25		6,265000651587590E-001	8,066266875988183E-002
26		4,770561214823061E-001	7,924307789773519E-002
27		5,505924742695224E-001	7,924307789773581E-002
28		6,739585147306311E-001	7,809739779090372E-002
29		1,005613013142609E+000	7,809739779090377E-002
30		1,778390681240558E+000	7,809739779090372E-002
31		2,282592387234926E+000	7,718474680494261E-002
32		4,508702034728391E+000	7,717616428697441E-002
33		5,916546224285657E+000	7,717616428697444E-002
34		1,764789204447043E+001	7,717616428697438E-002
35		1,286219457333502E+001	7,711854135639780E-002
36		2,873649206249449E+000	7,697614984339926E-002
37		1,813149258711636E+000	7,685819967700075E-002
38		3,008103206794057E+000	7,664792608085350E-002
39		4,516227028071681E-001	7,593274765591833E-002
40		3,419478133063805E+000	7,593274765591830E-002
41		6,746283478376237E+000	7,593274765591833E-002
42		1,746722292204803E+001	7,593216001125341E-002
43		1,362879633103951E+000	7,593214855635384E-002
44		1,070426594550620E+000	7,585623555124522E-002
45		2,339528824687501E+000	7,570441224842654E-002
46		7,171436877227354E+000	7,570441224842488E-002
47		4,480272041640104E+000	7,570441224842635E-002
48		3,080843096857686E+000	7,546088140531607E-002
49		1,339772679294085E+000	7,536634411330591E-002
50		5,995917157462080E+000	7,536634411330558E-002
51		3,310898079423020E+000	7,466559802477943E-002
52		4,034117682894551E+000	7,466559802477843E-002
53		2,757576274511901E+000	7,466086941813189E-002
54		1,909787689986247E+000	7,455390712785620E-002
55		7,318004022419360E+000	7,455382645971094E-002
56		1,353617812806476E+001	7,455228875530183E-002
57		3,083181096081768E+000	7,441903795858748E-002
58		1,671545500711096E+000	7,429513753229440E-002
59		5,787689579364947E-001	7,398313914981032E-002
60		2,275970057107121E+000	7,398313914980986E-002
61		1,193694385554352E+000	7,374920225377062E-002
62		3,631042672890250E+000	7,374920225377066E-002
63		1,880298396505695E+001	7,352362257390914E-002
64		8,056841977650281E+000	7,352362257390903E-002
65		9,271281725726830E+000	7,343785256486017E-002
