Method: COCG
SLAE Number: 4
Threads: 12
Smoothing: ResidualSmoothing
Total time: 8223709 ms
Total iterations: 12963

End iteration: 12963 		 ||f - Ax^j|| / ||r^0||: 9,999394002572937E-06

Iteration	Residual		SmoothedResidual
---------	---------		---------------
1		8,850906311095060E-001	6,976545951356491E-001
2		3,669363516979832E-001	3,310247428818461E-001
3		6,628430020764036E-001	3,310247428818461E-001
4		4,788663391238598E-001	2,149968942797629E-001
5		3,443261752434791E-001	2,033033693208526E-001
6		7,598560532034249E-001	1,997837040361366E-001
7		6,192631940711806E-001	1,740479200217360E-001
8		5,127734078558023E-001	1,735808160841755E-001
9		2,428016313930909E-001	1,369410590192710E-001
10		2,318125022833971E-001	1,287481109910799E-001
11		5,065579507865734E-001	1,287481109910797E-001
12		6,701573266487694E-001	1,287481109910798E-001
13		6,242781112686179E-001	1,278300674801527E-001
14		4,380532073096651E-001	1,194208460239574E-001
15		8,972422363144337E-001	1,155390615184793E-001
16		3,116843790772187E-001	9,911611362345869E-002
17		1,906302624574801E-001	9,063777520285052E-002
18		4,357657334250182E-001	9,045166327524271E-002
19		7,213276952940848E-001	9,025464088714832E-002
20		1,225239755237416E+000	9,025464088714834E-002
21		8,831333858188042E-001	8,678619684978772E-002
22		8,590543092059886E-001	8,371676832892898E-002
23		1,184570673391916E+000	8,371221053324780E-002
24		6,816746118267125E-001	8,327457797512454E-002
25		6,265000651582112E-001	8,066266875986795E-002
26		4,770561214819731E-001	7,924307789771941E-002
27		5,505924742691619E-001	7,924307789771945E-002
28		6,739585147299286E-001	7,809739779088805E-002
29		1,005613013141740E+000	7,809739779088798E-002
30		1,778390681239000E+000	7,809739779088794E-002
31		2,282592387232828E+000	7,718474680492982E-002
32		4,508702034724910E+000	7,717616428696200E-002
33		5,916546224281471E+000	7,717616428696217E-002
34		1,764789204443167E+001	7,717616428696206E-002
35		1,286219457330975E+001	7,711854135638326E-002
36		2,873649206243857E+000	7,697614984338545E-002
37		1,813149258707933E+000	7,685819967698609E-002
38		3,008103206787657E+000	7,664792608084163E-002
39		4,516227028065602E-001	7,593274765589762E-002
40		3,419478133055502E+000	7,593274765589760E-002
41		6,746283478358995E+000	7,593274765589760E-002
42		1,746722292200224E+001	7,593216001123210E-002
43		1,362879633098785E+000	7,593214855633426E-002
44		1,070426594548566E+000	7,585623555122438E-002
45		2,339528824684999E+000	7,570441224840670E-002
46		7,171436877218434E+000	7,570441224840675E-002
47		4,480272041635398E+000	7,570441224840678E-002
48		3,080843096939158E+000	7,546088140529829E-002
49		1,339772679285381E+000	7,536634411328416E-002
50		5,995917158090084E+000	7,536634411328384E-002
51		3,310898079951976E+000	7,466559802476033E-002
52		4,034117683483029E+000	7,466559802476028E-002
53		2,757576274434077E+000	7,466086941812056E-002
54		1,909787689931126E+000	7,455390712783806E-002
55		7,318004022680630E+000	7,455382645969506E-002
56		1,353617812891697E+001	7,455228875529023E-002
57		3,083181095972181E+000	7,441903795852423E-002
58		1,671545500704830E+000	7,429513753225073E-002
59		5,787689578805281E-001	7,398313914974970E-002
60		2,275970057290298E+000	7,398313914974963E-002
61		1,193694385762611E+000	7,374920225403508E-002
62		3,631042672856172E+000	7,374920225403440E-002
63		1,880298396446945E+001	7,352362257433945E-002
64		8,056841977550325E+000	7,352362257433950E-002
65		9,271281728021007E+000	7,343785256526182E-002
66		3,905242039792617E+000	7,343785256526188E-002
67		1,222062456884533E+001	7,343785256526188E-002
68		3,188520871380932E+001	7,343785256526193E-002
69		5,265212640887153E+000	7,336233929335378E-002
70		1,709161670156369E+001	7,336233929335496E-002
71		6,487565388291150E+000	7,336233929335495E-002
72		9,196246309123529E+001	7,308328867121189E-002
73		1,285551832188854E+001	7,304669985414715E-002
74		1,147127911150650E+001	7,304252806124703E-002
75		2,627005042944478E+000	7,304067980400787E-002
76		5,858455344132986E+000	7,302770629375022E-002
77		1,430612296602843E+000	7,302011411007157E-002
78		3,440040849519617E+000	7,302007392893746E-002
79		9,132065023839240E-001	7,257263649554382E-002
80		1,017870931097116E+000	7,257263649554382E-002
81		1,967681717504701E+000	7,252561603894181E-002
82		1,802276007142458E+000	7,240617156345784E-002
83		1,640403986413683E+000	7,240617156345734E-002
84		5,171166104258858E+000	7,240617156345772E-002
85		3,033776310114371E+000	7,215520274643694E-002
86		6,187510131034182E+000	7,207530744033991E-002
87		3,228637215366510E+000	7,198648055509282E-002
88		4,088911863910108E+000	7,197427143725894E-002
89		1,297525407650790E+000	7,184342140641066E-002
90		4,641159259064734E+000	7,184342140641073E-002
91		1,720566734544076E+001	7,184112208462130E-002
92		1,544737501490369E+000	7,184025982418057E-002
93		5,583102027307093E-001	7,088479141339739E-002
94		5,897966016021823E-001	7,020726393034228E-002
95		5,646804108390465E+000	7,001261082632099E-002
96		2,010668197532473E+000	6,977464393628596E-002
97		4,729861891646851E-001	6,776232273446163E-002
98		5,383400178622052E-001	6,715157343685164E-002
99		4,257011406224279E-001	6,623256622202442E-002
100		1,841294629770259E-001	6,197718993035983E-002
101		1,086368219573028E+000	6,197718993035983E-002
102		1,382520201446665E-001	5,978579535676344E-002
103		5,266741385604656E-001	5,875616466180281E-002
104		7,624573813715542E-001	5,875616466180283E-002
105		5,489076252058509E-001	5,751215129829526E-002
106		1,993314194921836E+000	5,659641793872791E-002
107		2,780364203137805E+000	5,659641793872797E-002
108		1,177095084059740E+000	5,659599329283927E-002
109		1,701825036567517E+000	5,555793281507756E-002
110		1,264836590573915E+000	5,555701359896086E-002
111		8,390726203313703E-001	5,537556083252518E-002
112		3,741405032125387E+000	5,537556083252538E-002
113		2,125405671407905E+000	5,537556083252527E-002
114		1,521999846255169E+000	5,513162527973752E-002
115		5,467353000575911E-001	5,510863309857136E-002
116		3,078937253098101E+000	5,510863309857129E-002
117		3,369755516997061E-001	5,489820942181549E-002
118		4,612157406281807E+000	5,489820942181567E-002
119		1,475572837242205E+000	5,484845226650323E-002
120		4,412139524880582E+000	5,456936494645198E-002
121		5,852362929944392E-001	5,455357867977339E-002
122		8,443418084880427E-001	5,455357867977334E-002
123		3,673501381411798E+000	5,451099414388705E-002
124		2,007611112661329E+000	5,450962060634983E-002
125		1,806008114472150E+000	5,446226824852756E-002
126		9,557078045757839E-001	5,438352296055014E-002
127		1,070927960398766E+000	5,431386415678659E-002
128		2,028570232769126E+000	5,421647872629719E-002
129		1,635361969217087E+000	5,419497969380342E-002
130		1,299496441450450E+000	5,414154383942789E-002
131		1,788292796143504E-001	5,139669798547215E-002
132		7,765344521520250E-001	5,136000991759856E-002
133		8,854964963217508E-001	5,136000991759865E-002
134		7,371724976814275E-001	5,070238694090834E-002
135		6,747474293772612E-001	5,068217278721190E-002
136		2,032199033143697E+000	5,036470019046421E-002
137		1,801525735741550E+000	5,036470019046413E-002
138		2,363531765270530E+000	5,036470019046441E-002
139		1,450547849513144E+000	5,036188986418595E-002
140		2,151269429670400E+000	5,019392449264661E-002
141		1,901335687316048E+000	5,019392449264665E-002
142		8,550910419136155E-001	5,014211796711173E-002
143		2,241424713719189E+000	5,002810669740574E-002
144		1,825191103042736E+000	5,002810669740589E-002
145		1,539922922100789E+000	4,990232101887419E-002
146		7,505569409137282E-001	4,951770347359689E-002
147		1,323213667687299E+000	4,919483326604032E-002
148		2,213635416739195E+000	4,919483326604014E-002
149		3,430991003500312E-001	4,828127151149798E-002
150		1,829345638544287E+000	4,762962644515549E-002
151		1,252564344831469E+000	4,756658017256524E-002
152		2,151157250086805E+000	4,756658017256530E-002
153		1,633120078278347E+000	4,755666825810263E-002
154		3,406823139556829E+000	4,752230832308424E-002
155		6,945089145638724E-001	4,730538553923141E-002
156		2,767522779608064E+000	4,730538553923151E-002
157		1,069611237505640E+000	4,730538553923141E-002
158		8,844151453605783E-001	4,730538553923141E-002
159		9,264456594681944E+000	4,730538553923112E-002
160		4,752991608090004E+001	4,718025861595696E-002
161		2,442225671730316E+000	4,717986994483010E-002
162		6,118908932196376E+000	4,713911134194401E-002
163		2,084183292515027E+000	4,713911134194405E-002
164		4,329960405690206E+000	4,713911134194406E-002
165		1,053166535277823E+000	4,712940437322202E-002
166		3,504232861618300E+000	4,712940437322166E-002
167		1,509126292056792E+000	4,703527485133278E-002
168		2,503580478536019E+000	4,698946568447204E-002
169		7,056691312974258E-001	4,698730142414580E-002
170		2,003466429204926E-001	4,561856735413392E-002
171		1,206406795659661E-001	4,086703102717327E-002
172		1,541084180045720E-001	3,625657446081898E-002
173		1,456619303839396E-001	3,460234018607418E-002
174		1,589228884825616E-001	3,199337942031370E-002
175		6,027425869005618E-002	2,822192038171072E-002
176		9,779294602092042E-002	2,822192038171118E-002
177		8,640759749722868E-001	2,714415068375410E-002
178		2,212946530790990E-001	2,603272594155262E-002
179		1,319956703469303E-001	2,534984531757172E-002
180		1,913527424074990E-001	2,534984531757171E-002
181		2,569012737994557E-001	2,534984531757167E-002
182		1,118765203593430E-001	2,507737770419151E-002
183		4,210551690919102E-001	2,507047464955504E-002
184		3,031423507765540E-001	2,506338903102526E-002
185		3,023408533644829E-001	2,506338903102536E-002
186		1,433354923576575E-001	2,370810921339322E-002
187		1,025875581269298E-001	2,359045882273275E-002
188		9,826622152303068E-001	2,332307518097053E-002
189		8,387550993903355E-001	2,331889318346112E-002
190		6,889803579644677E-002	2,212612328870421E-002
191		1,907851331795304E-001	2,212612328870421E-002
192		5,102428814805035E-001	2,192874293007048E-002
193		5,816976029009991E-001	2,188642214200287E-002
194		2,108150059542449E-001	2,173031565153741E-002
195		8,584333381577872E-002	2,141177404881353E-002
196		1,514408410120859E-001	2,132056831833879E-002
197		1,908841158396942E-001	2,130971800582393E-002
198		1,890291546334720E-001	2,130971800582421E-002
199		3,804132594727335E-001	2,116529348243419E-002
200		5,909887003568259E-001	2,116529348243418E-002
201		1,838185378720847E+000	2,115905434551883E-002
202		2,800267101626995E-001	2,108691511983502E-002
203		3,555113049886554E-001	2,108691511983502E-002
204		2,385475471725914E-001	2,108691511983496E-002
205		2,893690612327646E+000	2,108691511983486E-002
206		2,117531628123619E+000	2,108691511983504E-002
207		1,412052321650534E+000	2,108691511983503E-002
208		1,240966210832498E+000	2,108689364686727E-002
209		2,229410785332809E+000	2,051094223221038E-002
210		1,425891100860646E+000	2,050396219197088E-002
211		8,490617279438083E-001	2,045086279320878E-002
212		5,954373456212517E+000	2,041630919905300E-002
213		3,917023869893195E-001	2,026465429442310E-002
214		2,613844717009567E-001	2,022485001504865E-002
215		3,862112942022063E-001	2,018590689010631E-002
216		1,333057449958228E+000	2,017190910623137E-002
217		1,033515341475399E+000	2,013484504529430E-002
218		4,432187574794318E-001	2,004157215901762E-002
219		2,657946834228728E-001	1,971863814881326E-002
220		4,471047346522535E-001	1,971863814881320E-002
221		2,773350385414808E-001	1,971863814881306E-002
222		1,996994852510518E-001	1,954459399777740E-002
223		2,833002407501111E-001	1,921614276203375E-002
224		4,432264307071530E-001	1,921614276203376E-002
225		2,722875319800142E+000	1,921614276203377E-002
226		3,384046492416174E-001	1,905185221441468E-002
227		2,232034455832059E+000	1,905185221441471E-002
228		1,024459781539762E+000	1,905185221441474E-002
229		9,476669215237551E-001	1,905185221441473E-002
230		1,353318623794848E+000	1,896859111451225E-002
231		8,559073131099980E+000	1,896289406705703E-002
232		4,953503269812765E+000	1,896289406705671E-002
233		2,549713652208754E+000	1,895987047072946E-002
234		1,006488664289071E+000	1,887453511310326E-002
235		3,512949906134744E+000	1,887453511310322E-002
236		5,362046069876343E+000	1,887453511310310E-002
237		1,575939357842292E+000	1,887453511310326E-002
238		4,504455090417117E+000	1,887453511310325E-002
239		1,467616869594927E+001	1,887453511310325E-002
240		1,358621804424964E+000	1,887453511310317E-002
241		5,369173575856028E-001	1,887431022663906E-002
242		3,503953234360274E+000	1,887139783386335E-002
243		3,562584951633130E+000	1,887139783386345E-002
244		8,257933072172210E-001	1,869072050875869E-002
245		9,567731717413440E-001	1,869049438829235E-002
246		9,025033927470533E-001	1,867976236521895E-002
247		6,645392828813310E-001	1,867096251312005E-002
248		8,787264675872577E-001	1,855964892084685E-002
249		8,056164536255260E-001	1,854513069527171E-002
250		4,721364485606248E-001	1,854513069527168E-002
251		2,598976077644928E+000	1,849451790665682E-002
252		8,660592770352959E+000	1,847296913248040E-002
253		2,165261852701909E+000	1,847252033006498E-002
254		1,170217302868388E+000	1,846734682637078E-002
255		1,477747340310523E+000	1,846047874323966E-002
256		9,316545947692466E-001	1,846047874323965E-002
257		3,665958299694583E-001	1,839024846244584E-002
258		1,627168305731647E+000	1,839024846244596E-002
259		1,548355968526527E+000	1,839023285003570E-002
260		4,154778947250252E-001	1,836968949160645E-002
261		5,757670089492144E-001	1,835186302279577E-002
262		5,338376542774756E-001	1,835117462345651E-002
263		1,387165884906152E+000	1,834856092010893E-002
264		1,318236233918281E+000	1,834856092010882E-002
265		8,586244118607312E-001	1,832582855672914E-002
266		2,552213591340103E+000	1,831480564968525E-002
267		3,330314888869727E-001	1,830959181707191E-002
268		2,534427000118522E-001	1,829816367896689E-002
269		9,947763493166402E-001	1,828546107788982E-002
270		1,042488796560324E+000	1,828546107788980E-002
271		1,789692457021142E+000	1,828546107788982E-002
272		1,063818449062068E+000	1,828546107788982E-002
273		2,645991461271069E+000	1,827628642055156E-002
274		4,454071924892034E-001	1,813383360093399E-002
275		1,078053382903226E+000	1,813383360093401E-002
276		3,681487824825372E-001	1,812842846791838E-002
277		2,557408211123984E-001	1,806329529032980E-002
278		3,723982351028437E-001	1,806329529033015E-002
279		2,413597002614032E-001	1,790509526898403E-002
280		2,312217072392567E-001	1,745894489161484E-002
281		7,859010790950299E-001	1,745894489161482E-002
282		4,610414393927482E-001	1,745894489161483E-002
283		1,626238914207293E-001	1,709685525613793E-002
284		9,492959123581856E-001	1,703124618490285E-002
285		4,466700615321827E-001	1,703086902506874E-002
286		2,322829366452014E-001	1,701373505742501E-002
287		4,074972066610459E-001	1,701373505742507E-002
288		3,636432560256825E-001	1,683657301131028E-002
289		1,787038206364027E-001	1,670686200805757E-002
290		9,847731014103137E-001	1,670683958007151E-002
291		7,778570592334039E-001	1,670664366617164E-002
292		3,378899879969001E-001	1,670664366617166E-002
293		1,230578655619850E-001	1,668935484878906E-002
294		5,213409560005851E-001	1,667975367720611E-002
295		1,367259875177323E-001	1,667975367720581E-002
296		2,096903058863235E-001	1,665463749025035E-002
297		4,022913162612751E-001	1,662334994022504E-002
298		1,105315439579093E+000	1,659625160412597E-002
299		1,724860462310755E+000	1,652335532073358E-002
300		1,892653021065793E+000	1,652335532073356E-002
301		3,159475693798037E-001	1,652335532073362E-002
302		5,042183466173510E-001	1,652335532073355E-002
303		6,331060734785613E-001	1,652335532073342E-002
304		1,099135333967427E+000	1,652335532073343E-002
305		2,429445196263422E-001	1,641643220769477E-002
306		5,073776457577425E+000	1,638429624248519E-002
307		1,378326344204323E+000	1,638429624248524E-002
308		3,787515216205916E-001	1,637875175006245E-002
309		1,193830313736697E+000	1,637875175006212E-002
310		1,496883918690061E-001	1,627657440921631E-002
311		2,690408502462098E-001	1,626443106165878E-002
312		5,842177295681277E-001	1,622293473291074E-002
313		1,558180002096501E+000	1,613970376700611E-002
314		9,063091201601402E-001	1,613970376700609E-002
315		7,978295324499541E-001	1,613962804429216E-002
316		8,802205071329225E-002	1,602499356953303E-002
317		2,308810631744138E-001	1,597137782212392E-002
318		5,842294606526115E-002	1,556385631069435E-002
319		9,399346293161896E-002	1,509356679101059E-002
320		8,208559235062497E-002	1,455107734861873E-002
321		2,323629411016189E-001	1,455107734861877E-002
322		9,064359449374030E-001	1,455107734861876E-002
323		2,661823366141802E-001	1,455107734861870E-002
324		3,673880952551939E-001	1,455107734861876E-002
325		2,180692355618376E-001	1,455107734861877E-002
326		2,341127170124412E-001	1,433122473922911E-002
327		2,528417572570226E-001	1,433122473922895E-002
328		2,416592156559461E-001	1,433122473922905E-002
329		3,285254519161947E-001	1,424998362533862E-002
330		1,212165573415609E-001	1,385970746046508E-002
331		4,216052857468470E-001	1,372469450363209E-002
332		2,620961841796923E-001	1,372469450363208E-002
333		1,670322184913708E-001	1,363897099020381E-002
334		5,479150620565725E-001	1,346584414417624E-002
335		5,359975704826512E-001	1,325627573789509E-002
336		4,929518220138027E-001	1,325627573789510E-002
337		4,218043748849997E-001	1,323464880695324E-002
338		4,022772474577902E-001	1,309251802164361E-002
339		1,607776065075116E-001	1,308143905309680E-002
340		1,189248275911546E-001	1,285679906676042E-002
341		1,561592066120867E-001	1,282530514497603E-002
342		3,232135376816571E-001	1,282530514497604E-002
343		1,782831165026036E-001	1,281696391021826E-002
344		2,553207851831376E-001	1,281482000672064E-002
345		1,489667886861324E-001	1,276800804434910E-002
346		1,902262020014467E-001	1,271294667045486E-002
347		2,147597666805888E-001	1,270195495459205E-002
348		1,414737273251496E+000	1,270195495459198E-002
349		6,611332223213381E-001	1,270195495459205E-002
350		6,163561829502870E-001	1,270195495459205E-002
351		2,583721395331836E-001	1,260812682844021E-002
352		5,919737199620387E-001	1,260812682844021E-002
353		3,844461788116479E-001	1,253904052474661E-002
354		2,478684783230428E-001	1,253904052474662E-002
355		3,070491697164617E-001	1,253904052474663E-002
356		4,145189409139763E-001	1,251995138388922E-002
357		3,972609919986698E-001	1,251450966434983E-002
358		9,356763877898980E-001	1,251450966434976E-002
359		8,909100804067089E-001	1,251317036572524E-002
360		9,633665882201160E-001	1,250566002456480E-002
361		4,652453585892288E-001	1,244589035101915E-002
362		2,864122790215188E-001	1,244162253496569E-002
363		4,134927513972844E-001	1,244162253496576E-002
364		3,324595791960571E-001	1,244162253496580E-002
365		5,153849175225624E-001	1,238487065572761E-002
366		3,315535969202803E-001	1,236068852526156E-002
367		1,795882457610910E+000	1,235066896895590E-002
368		5,118773385324183E-001	1,231785356788501E-002
369		1,122906034528820E+000	1,231661072547324E-002
370		7,951900115666500E-001	1,231274794873151E-002
371		1,178301286712609E+000	1,230855882773228E-002
372		1,604728534298558E+000	1,230855882773228E-002
373		1,144486426023394E+000	1,230122801843625E-002
374		1,660793707632358E+000	1,230122801843625E-002
375		1,106212008822493E+000	1,230122801843624E-002
376		2,200784124162091E+000	1,228845375928741E-002
377		1,030210805479576E+000	1,226840469058004E-002
378		4,108326308350989E-001	1,226840469058005E-002
379		1,801045319920454E-001	1,226840469058005E-002
380		6,327745545538522E-001	1,226840469058004E-002
381		3,442161868821632E-001	1,218980965772975E-002
382		2,057874904955246E-001	1,211957040992208E-002
383		1,977344128880351E-001	1,210072774825294E-002
384		1,014093070225484E-001	1,199650621584410E-002
385		5,163744708440479E-001	1,199650621584410E-002
386		4,175652737210344E-001	1,199650621584408E-002
387		3,054149617612472E-001	1,197595454662837E-002
388		2,324812894968779E-001	1,188095044159193E-002
389		4,148169487694036E-001	1,188095044159185E-002
390		1,404067376633892E-001	1,176392698065867E-002
391		2,438066792762860E-001	1,173756731856396E-002
392		1,234532397876741E-001	1,169646144500803E-002
393		1,930840303033004E-001	1,169615256403404E-002
394		2,711372825353416E-001	1,152092427591323E-002
395		2,306620528287828E-001	1,152092427591333E-002
396		9,589292646226902E-001	1,148764469896487E-002
397		5,140506059766963E-001	1,148764469896474E-002
398		1,415915219756430E+000	1,148040425484479E-002
399		5,858580127537640E-001	1,148040425484494E-002
400		3,827611989417128E-001	1,148040425484491E-002
401		1,465647435462504E-001	1,148040425484494E-002
402		5,392510275519191E-001	1,148040425484481E-002
403		2,285316650062242E-001	1,145800439374454E-002
404		3,818922459194842E-001	1,145800439374457E-002
405		2,165499900716420E-001	1,143420908349636E-002
406		3,660517835807724E-001	1,142705229153877E-002
407		2,212604883834648E-001	1,139457774994791E-002
408		5,974503112896633E-001	1,136928388161404E-002
