Method: ComplexLocalOptimalScheme
SLAE Number: 3
Threads: 12
Smoothing: NoSmoothing
Total time: 1846419 ms
Total iterations: 6152

End iteration: 6152 		 ||f - Ax^j|| / ||r^0||: 9,160202165761552E-06

Iteration	Residual		SmoothedResidual
---------	---------		---------------
1		7,548324610422295E-001	7,548324610422338E-001
2		3,539270896693460E-001	3,539270896693423E-001
3		2,947900112729728E-001	2,947900112729728E-001
4		3,753591491922484E-001	3,753591491922472E-001
5		1,943980097836677E-001	1,943980097836680E-001
6		1,787393793884794E-001	1,787393793884783E-001
7		2,232814384899890E-001	2,232814384899895E-001
8		2,525900038141595E-001	2,525900038141593E-001
9		1,605424282263854E-001	1,605424282263857E-001
10		1,389873572023907E-001	1,389873572023910E-001
11		1,234900233490647E-001	1,234900233490643E-001
12		1,089716962691840E-001	1,089716962691838E-001
13		1,198963656022520E-001	1,198963656022518E-001
14		1,055921045588454E-001	1,055921045588454E-001
15		8,748647438596774E-002	8,748647438596764E-002
16		2,786238045969739E-001	2,786238045969738E-001
17		1,042841736418892E-001	1,042841736418897E-001
18		8,001813199172553E-002	8,001813199172554E-002
19		6,666799102075324E-002	6,666799102075316E-002
20		6,034869553256052E-002	6,034869553256041E-002
21		9,540128828792416E-002	9,540128828792409E-002
22		1,020009867035182E-001	1,020009867035184E-001
23		1,097562741417607E-001	1,097562741417601E-001
24		2,114236692112504E-001	2,114236692112503E-001
25		1,594686911718249E-001	1,594686911718253E-001
26		2,030578058487242E-001	2,030578058487243E-001
27		1,118874748579346E-001	1,118874748579341E-001
28		8,380353675630114E-002	8,380353675630112E-002
29		2,200763812167382E-001	2,200763812167374E-001
30		5,727753480295038E-002	5,727753480295041E-002
31		7,830177479914983E-002	7,830177479915001E-002
32		1,154384141073493E-001	1,154384141073498E-001
33		5,029397941661820E-002	5,029397941661824E-002
34		5,111234938041152E-002	5,111234938041143E-002
35		9,241410761300843E-002	9,241410761300879E-002
36		1,299360867129800E-001	1,299360867129803E-001
37		1,022242404466904E-001	1,022242404466896E-001
38		1,575001312552643E-001	1,575001312552640E-001
39		1,265534612452409E-001	1,265534612452406E-001
40		6,836432331708100E-002	6,836432331708110E-002
41		7,843683313860887E-002	7,843683313860866E-002
42		8,335866535350152E-001	8,335866535350136E-001
43		3,566616635462375E-001	3,566616635462378E-001
44		1,046172509457799E-001	1,046172509457798E-001
45		1,651923660549838E-001	1,651923660549842E-001
46		1,065546808560962E-001	1,065546808560965E-001
47		6,642657565952180E-002	6,642657565952163E-002
48		7,340920162869226E-002	7,340920162869219E-002
49		4,551743969156349E-002	4,551743969156324E-002
50		4,233281249008936E-002	4,233281249008947E-002
51		3,850506325963007E-002	3,850506325962984E-002
52		4,649997423293377E-002	4,649997423293388E-002
53		6,163824837390691E-002	6,163824837390728E-002
