Method: ComplexLocalOptimalScheme
SLAE Number: 3
Threads: 4
Smoothing: NoSmoothing
Total time: 1168543 ms
Total iterations: 6139

End iteration: 6139 		 ||f - Ax^j|| / ||r^0||: 9,172062577537647E-06

Iteration	Residual		SmoothedResidual
---------	---------		---------------
1		7,548324610422261E-001	7,548324610421829E-001
2		3,539270896693474E-001	3,539270896693527E-001
3		2,947900112729774E-001	2,947900112729801E-001
4		3,753591491922351E-001	3,753591491922334E-001
5		1,943980097836858E-001	1,943980097836846E-001
6		1,787393793885057E-001	1,787393793885037E-001
7		2,232814384899918E-001	2,232814384899893E-001
8		2,525900038141671E-001	2,525900038141650E-001
9		1,605424282264141E-001	1,605424282264140E-001
10		1,389873572024483E-001	1,389873572024469E-001
11		1,234900233491124E-001	1,234900233491112E-001
12		1,089716962692250E-001	1,089716962692240E-001
13		1,198963656022898E-001	1,198963656022852E-001
14		1,055921045588498E-001	1,055921045588499E-001
15		8,748647438597507E-002	8,748647438597333E-002
16		2,786238045970785E-001	2,786238045970728E-001
17		1,042841736419307E-001	1,042841736419289E-001
18		8,001813199176565E-002	8,001813199176498E-002
19		6,666799102077921E-002	6,666799102077803E-002
20		6,034869553258009E-002	6,034869553258003E-002
21		9,540128828797349E-002	9,540128828797396E-002
22		1,020009867035828E-001	1,020009867035810E-001
23		1,097562741418332E-001	1,097562741418321E-001
24		2,114236692113887E-001	2,114236692113908E-001
25		1,594686911719320E-001	1,594686911719319E-001
26		2,030578058487629E-001	2,030578058487629E-001
27		1,118874748579224E-001	1,118874748579215E-001
28		8,380353675628362E-002	8,380353675628331E-002
29		2,200763812168249E-001	2,200763812168232E-001
30		5,727753480293488E-002	5,727753480293382E-002
31		7,830177479916817E-002	7,830177479916739E-002
32		1,154384141073705E-001	1,154384141073693E-001
33		5,029397941662235E-002	5,029397941662186E-002
34		5,111234938040950E-002	5,111234938040891E-002
35		9,241410761242644E-002	9,241410761242611E-002
36		1,299360867112224E-001	1,299360867112214E-001
37		1,022242404456596E-001	1,022242404456594E-001
38		1,575001312533155E-001	1,575001312533152E-001
39		1,265534612439294E-001	1,265534612439288E-001
40		6,836432331722650E-002	6,836432331722465E-002
41		7,843683313870903E-002	7,843683313870836E-002
42		8,335866535224372E-001	8,335866535224428E-001
43		3,566616635415584E-001	3,566616635415543E-001
44		1,046172509438540E-001	1,046172509438535E-001
45		1,651923660524062E-001	1,651923660524038E-001
46		1,065546808555528E-001	1,065546808555515E-001
47		6,642657565936841E-002	6,642657565936790E-002
48		7,340920162854209E-002	7,340920162854125E-002
49		4,551743969144678E-002	4,551743969144606E-002
50		4,233281249008624E-002	4,233281249008700E-002
51		3,850506325966983E-002	3,850506325966980E-002
52		4,649997423265363E-002	4,649997423265428E-002
53		6,163824837376832E-002	6,163824837376938E-002
54		5,884341191898653E-002	5,884341191898673E-002
55		4,448167242639106E-002	4,448167242639007E-002
56		5,737444454214056E-002	5,737444454213939E-002
57		1,208619731924629E-001	1,208619731924613E-001
