Method: COCG
SLAE Number: 3
Threads: 4
Smoothing: NoSmoothing
Total time: 1529262 ms
Total iterations: 8730

End iteration: 8731 		 ||f - Ax^j|| / ||r^0||: 8,897252185816786E-06

Iteration	Residual		SmoothedResidual
---------	---------		---------------
1		8,851667267076386E-001	1,000000000000000E+000
2		3,681250326383602E-001	3,681250326383724E-001
3		6,752594680399907E-001	3,681250326383602E-001
4		4,729485332533076E-001	4,729485332533075E-001
5		3,490903007415163E-001	4,729485332533077E-001
6		7,692852686898978E-001	7,692852686898973E-001
7		6,204699030760314E-001	7,692852686898971E-001
8		5,018042745955870E-001	5,018042745955866E-001
9		2,450552997125214E-001	5,018042745955865E-001
10		2,335881572902559E-001	2,335881572902559E-001
11		5,348673154586643E-001	2,335881572902559E-001
12		7,032481152774921E-001	7,032481152774921E-001
13		6,115159173473705E-001	7,032481152774929E-001
14		4,139047408626596E-001	4,139047408626589E-001
15		8,421388100516692E-001	4,139047408626590E-001
16		3,165340274310282E-001	3,165340274310282E-001
17		1,969757781976410E-001	3,165340274310274E-001
18		4,498997135405078E-001	4,498997135405078E-001
19		6,303635699956367E-001	4,498997135405079E-001
20		1,139000682850092E+000	1,139000682850092E+000
21		8,362376405371943E-001	1,139000682850088E+000
22		8,411040389784425E-001	8,411040389784434E-001
23		1,119588521654456E+000	8,411040389784458E-001
24		5,095171539042939E-001	5,095171539042952E-001
25		4,882475093161017E-001	5,095171539042936E-001
26		3,916105384904139E-001	3,916105384904140E-001
27		3,812213294273625E-001	3,916105384904135E-001
28		4,839105029860536E-001	4,839105029860530E-001
29		6,285172571650548E-001	4,839105029860532E-001
30		1,168454385153841E+000	1,168454385153833E+000
31		1,207982507122909E+000	1,168454385153844E+000
32		1,580560849180682E+000	1,580560849180683E+000
33		3,832626720740436E+000	1,580560849180682E+000
34		2,134886603871703E+001	2,134886603871704E+001
35		3,075666906754461E+000	2,134886603871705E+001
36		8,216080541906426E-001	8,216080541906426E-001
37		6,189124066846747E-001	8,216080541906416E-001
38		1,397331633821559E+000	1,397331633821560E+000
39		3,079439994453904E-001	1,397331633821558E+000
40		2,017440753278683E+000	2,017440753278675E+000
41		1,967550497273354E+000	2,017440753278677E+000
42		1,241454335841293E+000	1,241454335841293E+000
43		1,764943838304274E+000	1,241454335841293E+000
44		4,773351317286622E-001	4,773351317286667E-001
45		4,241462740403006E-001	4,773351317286668E-001
46		9,377578529019948E-002	9,377578529020000E-002
47		3,184076064020533E-001	9,377578529020093E-002
48		7,433200494533498E-001	7,433200494533467E-001
49		4,902365913217526E-001	7,433200494533501E-001
50		2,066682185250973E+000	2,066682185250973E+000
51		1,141252067411523E+000	2,066682185250974E+000
52		2,637897460450897E+000	2,637897460450924E+000
