Method: COCG
SLAE Number: 2
Threads: 12
Smoothing: NoSmoothing
Total time: 93451 ms
Total iterations: 1341

End iteration: 1341 		 ||f - Ax^j|| / ||r^0||: 9,971249578308807E-06

Iteration	Residual		SmoothedResidual
---------	---------		---------------
1		7,755598375485275E-001	9,999999999999974E-001
2		2,874283918882125E-001	2,874283918882124E-001
3		4,438053320357017E-001	2,874283918882124E-001
4		2,856923262226344E-001	2,856923262226345E-001
5		4,843119217275448E-001	2,856923262226346E-001
6		5,695214167922414E-001	5,695214167922408E-001
7		2,171222695097663E-001	5,695214167922406E-001
8		6,577788736940142E-001	6,577788736940147E-001
9		2,812346751805372E-001	6,577788736940148E-001
10		2,237411983304907E-001	2,237411983304905E-001
11		2,987893807009173E-001	2,237411983304909E-001
12		1,588375520982074E-001	1,588375520982071E-001
13		1,956188261920126E-001	1,588375520982070E-001
14		3,065676364412630E+000	3,065676364412631E+000
15		2,216906379155703E-001	3,065676364412635E+000
16		1,386035076975929E-001	1,386035076975929E-001
17		2,859392464453189E-001	1,386035076975929E-001
18		2,157085738289501E-001	2,157085738289498E-001
19		9,877542008092056E-002	2,157085738289500E-001
20		3,350944906423780E-001	3,350944906423771E-001
21		6,526547658601144E-002	3,350944906423774E-001
22		2,234173654937608E-001	2,234173654937604E-001
23		3,567662607623477E-001	2,234173654937606E-001
24		2,713181560801855E-001	2,713181560801849E-001
25		6,541897057936953E-001	2,713181560801849E-001
26		2,785236622455393E-001	2,785236622455389E-001
27		3,387578160757014E-001	2,785236622455389E-001
28		2,550746704132167E-001	2,550746704132166E-001
29		2,192707946586523E-001	2,550746704132169E-001
30		3,005033136358928E-001	3,005033136358924E-001
31		1,691219417634323E-001	3,005033136358927E-001
32		4,872735218145188E-001	4,872735218145187E-001
33		3,052417844506785E-001	4,872735218145188E-001
34		3,725355528048341E-001	3,725355528048349E-001
35		4,638576200452370E-001	3,725355528048343E-001
36		1,218079809669438E-001	1,218079809669439E-001
37		5,176044961631112E-001	1,218079809669438E-001
38		2,157509045042601E-001	2,157509045042600E-001
39		3,124707647021330E-001	2,157509045042600E-001
40		3,333442020952563E-001	3,333442020952570E-001
41		5,864016451173950E-001	3,333442020952563E-001
42		4,188082094103520E-001	4,188082094103516E-001
43		6,800788756990493E-001	4,188082094103509E-001
44		3,010485086208315E+000	3,010485086208313E+000
45		5,303075722062547E+000	3,010485086208310E+000
46		2,479775827349489E-001	2,479775827349486E-001
47		1,248692114959694E-001	2,479775827349488E-001
48		1,195790053196798E-001	1,195790053196797E-001
49		1,296429185260663E-001	1,195790053196797E-001
50		1,539006584698469E-001	1,539006584698467E-001
51		1,745508822962721E-001	1,539006584698469E-001
52		2,357624822877231E-001	2,357624822877231E-001
53		1,130082245200328E-001	2,357624822877233E-001
54		1,097613263845387E-001	1,097613263845389E-001
55		1,274155681577666E-001	1,097613263845388E-001
56		1,365273920742680E-001	1,365273920742678E-001
57		9,899759734063919E-002	1,365273920742679E-001
58		1,758015651685646E-001	1,758015651685647E-001
59		2,147253442826406E-001	1,758015651685645E-001
60		1,031405624442995E-001	1,031405624442996E-001
61		3,919310268156443E-001	1,031405624442994E-001
62		1,799047839457751E-001	1,799047839457752E-001
63		8,907383573736904E-002	1,799047839457754E-001
64		1,973956332972324E-001	1,973956332972324E-001
65		1,567406977249784E-001	1,973956332972327E-001
66		6,763005674105606E-002	6,763005674105600E-002
67		6,533263733129838E-002	6,763005674105600E-002
68		1,831964096814162E-001	1,831964096814161E-001
69		4,294516344100396E-001	1,831964096814162E-001
70		9,285861078545427E-002	9,285861078545422E-002
71		7,821291687537735E-002	9,285861078545428E-002
72		8,491708874434700E-002	8,491708874434716E-002
73		4,481271859542053E-002	8,491708874434702E-002
74		1,641432249575367E-001	1,641432249575366E-001
75		2,785914953061029E-001	1,641432249575366E-001
76		3,738035480513178E-001	3,738035480513175E-001
77		7,479027510985505E-001	3,738035480513174E-001
78		2,211789196988461E-001	2,211789196988462E-001
79		4,320424852606510E-001	2,211789196988457E-001
80		3,393349635203234E-001	3,393349635203235E-001
81		2,616535480708106E-001	3,393349635203230E-001
82		1,545460873009694E-001	1,545460873009693E-001
83		1,524998853741326E-001	1,545460873009694E-001
84		2,541113357847922E-001	2,541113357847923E-001
