Method: COCG
SLAE Number: 2
Threads: 2
Smoothing: NoSmoothing
Total time: 61455 ms
Total iterations: 1319

End iteration: 1319 		 ||f - Ax^j|| / ||r^0||: 9,52721099637059E-06

Iteration	Residual		SmoothedResidual
---------	---------		---------------
1		7,755598375485222E-001	1,000000000000000E+000
2		2,874283918882075E-001	2,874283918882073E-001
3		4,438053320356916E-001	2,874283918882073E-001
4		2,856923262226277E-001	2,856923262226277E-001
5		4,843119217275283E-001	2,856923262226276E-001
6		5,695214167922129E-001	5,695214167922130E-001
7		2,171222695097569E-001	5,695214167922130E-001
8		6,577788736939755E-001	6,577788736939755E-001
9		2,812346751805218E-001	6,577788736939755E-001
10		2,237411983305048E-001	2,237411983305048E-001
11		2,987893807009285E-001	2,237411983305048E-001
12		1,588375520982191E-001	1,588375520982191E-001
13		1,956188261920338E-001	1,588375520982191E-001
14		3,065676364412972E+000	3,065676364412971E+000
15		2,216906379156030E-001	3,065676364412971E+000
16		1,386035076975984E-001	1,386035076975984E-001
17		2,859392464453841E-001	1,386035076975984E-001
18		2,157085738289691E-001	2,157085738289690E-001
19		9,877542008093745E-002	2,157085738289690E-001
20		3,350944906424860E-001	3,350944906424860E-001
21		6,526547658602751E-002	3,350944906424860E-001
22		2,234173654936787E-001	2,234173654936787E-001
23		3,567662607623906E-001	2,234173654936787E-001
24		2,713181560801522E-001	2,713181560801522E-001
25		6,541897057942621E-001	2,713181560801531E-001
26		2,785236622462605E-001	2,785236622462603E-001
27		3,387578160745421E-001	2,785236622462605E-001
28		2,550746704128492E-001	2,550746704128491E-001
29		2,192707946595484E-001	2,550746704128490E-001
30		3,005033136380749E-001	3,005033136380750E-001
31		1,691219417639778E-001	3,005033136380747E-001
32		4,872735218170949E-001	4,872735218170949E-001
33		3,052417844514853E-001	4,872735218170949E-001
34		3,725355528060154E-001	3,725355528060154E-001
35		4,638576200473035E-001	3,725355528060151E-001
36		1,218079809671380E-001	1,218079809671379E-001
37		5,176044961642003E-001	1,218079809671379E-001
38		2,157509045045251E-001	2,157509045045250E-001
39		3,124707647032306E-001	2,157509045045251E-001
40		3,333442020964471E-001	3,333442020964471E-001
41		5,864016451177486E-001	3,333442020964472E-001
42		4,188082094118427E-001	4,188082094118427E-001
43		6,800788757098736E-001	4,188082094118427E-001
44		3,010485086272589E+000	3,010485086272589E+000
45		5,303075722152535E+000	3,010485086272589E+000
46		2,479775827358229E-001	2,479775827358230E-001
47		1,248692114957430E-001	2,479775827358230E-001
48		1,195790053192887E-001	1,195790053192887E-001
49		1,296429185253919E-001	1,195790053192888E-001
50		1,539006584695208E-001	1,539006584695209E-001
51		1,745508822966023E-001	1,539006584695207E-001
52		2,357624822836822E-001	2,357624822836819E-001
53		1,130082245145760E-001	2,357624822836818E-001
54		1,097613263767270E-001	1,097613263767270E-001
55		1,274155681468730E-001	1,097613263767270E-001
56		1,365273920723271E-001	1,365273920723271E-001
57		9,899759734036868E-002	1,365273920723271E-001
58		1,758015651640296E-001	1,758015651640296E-001
59		2,147253442785956E-001	1,758015651640296E-001
60		1,031405624421271E-001	1,031405624421272E-001
61		3,919310268162239E-001	1,031405624421271E-001
62		1,799047839539153E-001	1,799047839539153E-001
63		8,907383573875473E-002	1,799047839539153E-001
64		1,973956333018129E-001	1,973956333018129E-001
65		1,567406977267376E-001	1,973956333018129E-001
66		6,763005674182733E-002	6,763005674182733E-002
67		6,533263733181961E-002	6,763005674182733E-002
68		1,831964096803986E-001	1,831964096803986E-001
69		4,294516344113593E-001	1,831964096803986E-001
70		9,285861078976301E-002	9,285861078976301E-002
71		7,821291687868685E-002	9,285861078976301E-002
72		8,491708874644593E-002	8,491708874644589E-002
73		4,481271859540593E-002	8,491708874644596E-002
74		1,641432249481266E-001	1,641432249481266E-001
75		2,785914953031650E-001	1,641432249481265E-001
76		3,738035480579709E-001	3,738035480579709E-001
77		7,479027511351861E-001	3,738035480579709E-001
78		2,211789196948821E-001	2,211789196948816E-001
79		4,320424852686297E-001	2,211789196948816E-001
80		3,393349635110987E-001	3,393349635110984E-001
81		2,616535480703017E-001	3,393349635110984E-001
82		1,545460872983289E-001	1,545460872983289E-001
83		1,524998853793209E-001	1,545460872983289E-001
84		2,541113358038602E-001	2,541113358038601E-001
85		6,233371250086286E-002	2,541113358038603E-001
86		2,441711050131562E-001	2,441711050131562E-001
87		1,522077803892082E-001	2,441711050131561E-001
88		3,049422709554875E-001	3,049422709554875E-001
89		1,635106359111028E-001	3,049422709554875E-001
90		1,369125322597818E-001	1,369125322597818E-001
