Method: ComplexLocalOptimalScheme
SLAE Number: 4
Threads: 2
Smoothing: ResidualSmoothing
Total time: 4272592 ms
Total iterations: 6507

End iteration: 6507 		 ||f - Ax^j|| / ||r^0||: 9,915240232747175E-06

Iteration	Residual		SmoothedResidual
---------	---------		---------------
1		7,549651519898186E-001	7,513107650493527E-001
2		3,527509780327486E-001	3,404587332284144E-001
3		2,940358648886852E-001	2,940358648886852E-001
4		3,653127391166738E-001	2,617633088581686E-001
5		1,937860889547349E-001	1,817369806754524E-001
6		1,783895529925915E-001	1,741118521136748E-001
7		2,268862644643058E-001	1,733039987748622E-001
8		2,653633902481090E-001	1,726201761156839E-001
9		1,611700238258789E-001	1,342968512803025E-001
10		1,406791812122405E-001	1,164551480968316E-001
11		1,246797601968647E-001	1,134269886409696E-001
12		1,092930233046179E-001	1,069639826396502E-001
13		1,169043241864593E-001	1,062850980342735E-001
14		1,026395580457879E-001	9,531471387483793E-002
15		8,869802677584508E-002	8,862042470629169E-002
16		2,940369206026691E-001	8,862042470629165E-002
17		1,068305358386214E-001	7,727151404497691E-002
18		7,983042361120704E-002	7,120424468143394E-002
19		6,707919587055600E-002	6,407321898414438E-002
20		6,089649972546003E-002	5,996097415422220E-002
21		9,354872732009756E-002	5,996097415422220E-002
22		1,004501808864716E-001	5,996097415422220E-002
23		1,086427244547431E-001	5,996097415422198E-002
24		2,630849153201951E-001	5,996097415422220E-002
25		1,636074804936090E-001	5,980081091758845E-002
26		2,242352324091167E-001	5,951241954825309E-002
27		1,316042628778805E-001	5,446866594713588E-002
28		8,575211524991644E-002	4,997873186723780E-002
29		2,497223304684389E-001	4,950407770095715E-002
30		6,068110499401671E-002	4,658691376635526E-002
31		1,217876940818484E-001	4,658691376635529E-002
32		2,552906228387768E-001	4,613372181275664E-002
33		5,126297266525628E-002	4,480091944873639E-002
34		8,016713755900685E-002	4,480091944873632E-002
35		1,660814828495482E-001	4,480091944873641E-002
36		3,340222048534351E-001	4,406391754147150E-002
37		2,768678221388742E-001	4,320720816510981E-002
38		3,515245348042119E-001	4,280517191371665E-002
39		3,063866410936998E-001	4,249433146766964E-002
40		1,038692703870450E-001	3,969582103764212E-002
41		3,099510107755529E-001	3,969582103764223E-002
42		4,630174086204656E-001	3,969582103764221E-002
43		5,601131988044843E-001	3,732426079066425E-002
44		2,329956821963109E-001	3,515743126238857E-002
45		1,668237526076615E+000	3,490898878100439E-002
46		2,303028407348524E+000	3,434982689864163E-002
47		1,899688609858487E-001	3,429446832073108E-002
48		2,159818245592843E-001	3,249045132363246E-002
49		6,332166591977946E-002	3,087392759905042E-002
50		5,233803940792859E-002	2,862783402152084E-002
51		8,574794553323688E-002	2,805587043942503E-002
52		4,062965053368214E-002	2,775443808670201E-002
53		1,338917347050166E-001	2,769073135333458E-002
54		1,871278509154499E-001	2,769073135333458E-002
55		1,003244330527192E-001	2,729970237494597E-002
56		7,757162443046810E-002	2,729970237494597E-002
57		3,721048618227497E-001	2,707113145440649E-002
58		4,543282271092519E-001	2,707113145440649E-002
59		1,445968516243342E-001	2,506303123226455E-002
60		7,601599895641013E-002	2,449802375702886E-002
61		6,526973773322207E-002	2,401171238535375E-002
62		7,713867683010436E-002	2,262924876550556E-002
63		4,309910623417792E-002	2,257967898839781E-002
64		2,560256037348134E-002	2,158203744929212E-002
65		6,109691321034486E-002	2,103711719988408E-002
66		7,586443226686142E-002	2,021200398891430E-002
67		2,271465761656946E-002	1,870097682385944E-002
68		2,998173436903969E-002	1,824500652649837E-002
69		3,767186139268683E-002	1,821703179119617E-002
70		3,295210840484241E-002	1,775357570468714E-002
71		2,704677468555573E-002	1,774466898938797E-002
72		4,434014453526207E-002	1,774466898938799E-002
73		1,396344092286433E-001	1,774466898938797E-002
74		2,259653597979585E-002	1,750220260573673E-002
75		2,406598860672997E-002	1,745052119101347E-002
76		3,485959221774994E-002	1,744986184084985E-002
