Method: COCG
SLAE Number: 1
Threads: 4
Smoothing: NoSmoothing
Total time: 8587 ms
Total iterations: 644

End iteration: 645 		 ||f - Ax^j|| / ||r^0||: 7,31095893609009E-06

Iteration	Residual		SmoothedResidual
---------	---------		---------------
1		6,098328096605707E-001	1,000000000000000E+000
2		2,834429874368231E-001	2,834429874368231E-001
3		3,286565167535476E-001	2,834429874368232E-001
4		2,570914604478499E-001	2,570914604478500E-001
5		2,738945312309299E-001	2,570914604478499E-001
6		3,635698276167910E-001	3,635698276167910E-001
7		7,080361380388190E-001	3,635698276167910E-001
8		2,158499746306703E-001	2,158499746306703E-001
9		1,549257015534500E-001	2,158499746306707E-001
10		9,269749104310422E-002	9,269749104310418E-002
11		1,453818876527201E-001	9,269749104310407E-002
12		5,722479856650430E-002	5,722479856650436E-002
13		1,130779204067276E-001	5,722479856650430E-002
14		8,460930152228142E-002	8,460930152228142E-002
15		5,346325408171922E-002	8,460930152228135E-002
16		7,172838118492957E-002	7,172838118492922E-002
17		2,583466412334973E-002	7,172838118492948E-002
18		4,000682649590324E-001	4,000682649590322E-001
19		1,000475246391256E-001	4,000682649590327E-001
20		2,688133484568078E-001	2,688133484568074E-001
21		3,167697778737204E-001	2,688133484568079E-001
22		5,926450721563178E-001	5,926450721563186E-001
23		2,793120206228294E-001	5,926450721563183E-001
24		3,878993288577193E-001	3,878993288577193E-001
25		1,583209570246690E-001	3,878993288577194E-001
26		1,413260219919088E-001	1,413260219919087E-001
27		1,722774187310456E-001	1,413260219919088E-001
28		1,381876341577732E-001	1,381876341577732E-001
29		7,831219694916368E-002	1,381876341577732E-001
30		3,424860366341992E-001	3,424860366341999E-001
31		2,294546616518333E+000	3,424860366341999E-001
32		3,006385283881417E-001	3,006385283881418E-001
33		6,142813309650950E-002	3,006385283881418E-001
34		1,353380419252398E-001	1,353380419252398E-001
35		8,591625186694608E-002	1,353380419252396E-001
36		9,026607067845377E-002	9,026607067845374E-002
37		1,035260605986018E-001	9,026607067845377E-002
38		6,922751346092507E-002	6,922751346092508E-002
39		3,122316694259833E-002	6,922751346092494E-002
40		2,379676155429183E-002	2,379676155429185E-002
41		1,451824122945705E-002	2,379676155429184E-002
42		1,433984619160411E-002	1,433984619160412E-002
43		6,842498790437965E-002	1,433984619160411E-002
44		2,121518870061283E-002	2,121518870061284E-002
45		5,677541821937317E-002	2,121518870061284E-002
46		1,683600432731506E-001	1,683600432731507E-001
47		2,196098799836755E-001	1,683600432731507E-001
48		4,625604504750540E-002	4,625604504750538E-002
49		6,006340760960399E-002	4,625604504750539E-002
50		7,775376127563144E-002	7,775376127563137E-002
51		7,666070087659667E-002	7,775376127563133E-002
52		6,256523023032597E-002	6,256523023032597E-002
53		1,726203923775584E-001	6,256523023032597E-002
54		2,176119266549803E-001	2,176119266549801E-001
55		1,954503061894393E-001	2,176119266549804E-001
56		6,468971929642216E-002	6,468971929642241E-002
57		3,617429518997859E-002	6,468971929642237E-002
58		3,095129342274246E-002	3,095129342274244E-002
59		3,779594000354481E-002	3,095129342274241E-002
60		5,311575926071217E-002	5,311575926071219E-002
61		1,487486085412425E-002	5,311575926071219E-002
62		1,583565488957601E-002	1,583565488957600E-002
63		1,243104265193704E-002	1,583565488957597E-002
64		4,786551864487971E-002	4,786551864487971E-002
65		2,050748680449064E-002	4,786551864487971E-002
66		8,580139473806606E-003	8,580139473806604E-003
67		5,330729691241415E-003	8,580139473806593E-003
68		1,051357430169515E-002	1,051357430169515E-002
69		5,680759391020195E-003	1,051357430169515E-002
70		9,336167678288905E-003	9,336167678288905E-003
71		4,289123418713481E-002	9,336167678288902E-003
72		5,291508695064769E-002	5,291508695064778E-002
73		2,634318394420478E-002	5,291508695064769E-002
74		1,858502691308030E-002	1,858502691308033E-002
75		9,714057182380286E-003	1,858502691308033E-002
76		6,419207892833898E-003	6,419207892833894E-003
77		1,150544013536288E-002	6,419207892833897E-003
78		8,054821618216114E-003	8,054821618216107E-003
79		6,156288805514585E-003	8,054821618216109E-003
80		1,558640717249345E-001	1,558640717249345E-001
81		1,251146884122085E-001	1,558640717249340E-001
82		1,968321432189032E-002	1,968321432189032E-002
83		6,072852704157717E-003	1,968321432189032E-002
84		1,189298103514211E-002	1,189298103514212E-002
85		6,779799531884096E-003	1,189298103514211E-002
86		8,051476016643699E-003	8,051476016643697E-003
87		1,273206731428628E-002	8,051476016643700E-003
88		8,288497266750360E-003	8,288497266750362E-003
89		4,404978254009892E-003	8,288497266750360E-003
90		1,260753689712206E-002	1,260753689712207E-002
91		1,431209391583441E-002	1,260753689712207E-002
92		1,579434800886986E-002	1,579434800886986E-002
93		4,576852226019457E-002	1,579434800886986E-002
94		2,036375530910762E-002	2,036375530910765E-002
95		1,580210950068910E-001	2,036375530910763E-002
96		2,368230265394633E-002	2,368230265394633E-002
97		1,117075789013770E-001	2,368230265394635E-002
98		3,524544973631025E-002	3,524544973631025E-002
99		7,532896304279802E-003	3,524544973631026E-002
100		8,005679557041836E-003	8,005679557041848E-003
101		1,041758567113395E-002	8,005679557041838E-003
102		2,290166663705997E-002	2,290166663705998E-002
103		1,452506304146782E-002	2,290166663705998E-002
104		9,416525715813254E-003	9,416525715813251E-003
105		7,206680994532253E-003	9,416525715813249E-003
106		2,363116792164728E-002	2,363116792164728E-002
107		1,095820512620090E-002	2,363116792164725E-002
108		6,239922636277789E-003	6,239922636277782E-003
109		8,748440254310716E-003	6,239922636277791E-003
110		9,272614605604801E-003	9,272614605604808E-003
111		7,645761090411759E-003	9,272614605604808E-003
112		7,195553295999199E-003	7,195553295999198E-003
113		4,034114427223338E-003	7,195553295999198E-003
114		9,162002289550287E-003	9,162002289550284E-003
115		1,870877577778724E-002	9,162002289550287E-003
116		9,151462489315752E-003	9,151462489315762E-003
117		1,092169552134386E-002	9,151462489315762E-003
118		1,491751369411204E-002	1,491751369411203E-002
119		6,705554972528045E-003	1,491751369411201E-002
120		1,332776527857844E-002	1,332776527857844E-002
121		2,561995914333644E-002	1,332776527857844E-002
122		1,519422811718329E-002	1,519422811718329E-002
123		1,873804807132063E-002	1,519422811718329E-002
124		1,708103188723952E-002	1,708103188723950E-002
125		7,584241262819890E-003	1,708103188723951E-002
126		1,034253477623365E-002	1,034253477623365E-002
127		3,743401334837708E-003	1,034253477623365E-002
128		2,991516401806483E-002	2,991516401806484E-002
129		5,869124471419187E-003	2,991516401806480E-002
130		2,234196282311020E-002	2,234196282311020E-002
131		1,038710970556641E-002	2,234196282311024E-002
132		5,319360241744714E-003	5,319360241744720E-003
133		1,457303461081045E-002	5,319360241744720E-003
134		4,488552686303104E-003	4,488552686303104E-003
135		5,526288556994608E-003	4,488552686303098E-003
136		2,990823903625923E-003	2,990823903625922E-003
137		4,477821870195214E-003	2,990823903625923E-003
138		3,300427523126967E-003	3,300427523126960E-003
139		2,885913170060272E-002	3,300427523126959E-003
140		1,978432476568099E-002	1,978432476568096E-002
141		1,028672262296307E-002	1,978432476568096E-002
142		2,917949396828983E-002	2,917949396828982E-002
143		5,382507528247577E-003	2,917949396828982E-002
144		6,047069524619017E-003	6,047069524619010E-003
145		2,754674316285697E-003	6,047069524619015E-003
146		1,306665427225654E-002	1,306665427225654E-002
147		4,900754223124381E-003	1,306665427225655E-002
148		4,595129055525511E-003	4,595129055525508E-003
149		3,384382896543056E-003	4,595129055525509E-003
150		1,052809141521108E-002	1,052809141521108E-002
151		2,073622998076396E-003	1,052809141521109E-002
152		2,298025104183765E-003	2,298025104183766E-003
153		3,540494640206406E-003	2,298025104183766E-003
154		7,255841474265944E-003	7,255841474265943E-003
155		6,350903441620933E-003	7,255841474265955E-003
156		3,734275398823482E-002	3,734275398823481E-002
157		4,993267687400973E-002	3,734275398823480E-002
158		6,461790768069059E-003	6,461790768069063E-003
159		2,502342368434253E-003	6,461790768069059E-003
160		2,845940209732186E-003	2,845940209732185E-003
161		3,523569313163220E-003	2,845940209732186E-003
162		5,228989530382009E-003	5,228989530382012E-003
163		3,746729087370244E-003	5,228989530382011E-003
164		4,922107093958756E-003	4,922107093958772E-003
165		1,823554784921069E-003	4,922107093958766E-003
166		2,134562973046307E-003	2,134562973046310E-003
167		3,356415738671416E-003	2,134562973046312E-003
168		7,865369633788075E-003	7,865369633788075E-003
169		2,354208855149970E-003	7,865369633788080E-003
170		1,239611338943054E-003	1,239611338943054E-003
171		1,227273181711401E-003	1,239611338943054E-003
172		2,691650152791280E-003	2,691650152791281E-003
173		1,579009564905456E-003	2,691650152791280E-003
174		1,089539686005263E-003	1,089539686005263E-003
175		2,649222334017116E-003	1,089539686005265E-003
176		1,817258120103476E-003	1,817258120103475E-003
177		2,761540029959732E-003	1,817258120103475E-003
178		2,503260998166329E-003	2,503260998166329E-003
179		1,365265468134455E-003	2,503260998166323E-003
180		5,137268075263809E-003	5,137268075263813E-003
181		9,543368542774188E-003	5,137268075263815E-003
182		1,420463590186527E-002	1,420463590186526E-002
183		5,764444915566796E-003	1,420463590186525E-002
184		2,351604792373546E-003	2,351604792373545E-003
185		1,288677218018259E-003	2,351604792373545E-003
186		2,143130901489340E-003	2,143130901489338E-003
187		7,721716610282331E-003	2,143130901489337E-003
188		1,593242103956981E-003	1,593242103956981E-003
189		6,512300849335149E-003	1,593242103956982E-003
190		2,776945630286040E-003	2,776945630286041E-003
191		2,118201277973816E-003	2,776945630286041E-003
192		7,448767548370102E-003	7,448767548370105E-003
193		2,201398554572321E-003	7,448767548370107E-003
194		3,781720072709492E-003	3,781720072709492E-003
